,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.24040207698782456,23.50,4.75,15.90,68.51970,8.53360,31.20720,20.38790,3.66000,0.96360,0.84,4.86560,5.15850,0.01076768578442322,0.025472188528851136
2021-12-31,0.32400963455922316,19.41,3.96,14.35,74.81860,7.88170,31.89490,20.53850,4.96790,0.79350,0.71,5.57740,5.63270,0.5774003344187275,1.5004332755632581
2020-12-31,0.27610293968828814,33.07,3.42,12.75,35.29050,3.06980,24.80790,10.07770,6.57070,0.84340,0.73,4.64860,5.19200,-0.1247785565739814,-0.41436183709718344
2019-12-31,0.014954540661423321,14.04,3.29,-13.41,-96.45130,8.84480,39.02780,23.69390,-8.16540,3.17740,3.06,4.10310,6.12860,1.033996553344822,0.38596799718656594
2018-12-31,-0.009801462083068424,20.40,3.47,-12.83,-67.33370,9.58180,19.48830,17.36330,-4.77270,0.98290,0.89,4.80870,6.08340,-0.3312729177579885,0.07119984931248813
2017-12-31,0.6012876468416826,22.41,3.92,23.03,104.15930,7.50010,33.82830,18.81560,7.33140,1.27530,1.18,4.38750,5.54560,0.021948608137045023,-0.10818074920208298
2016-12-31,0.09877865764478222,12.38,2.93,15.82,128.40810,9.00620,36.43030,23.21940,7.94690,1.65490,1.51,4.03880,5.38840,0.2392198487461854,0.15727060653188185
2015-12-31,-0.0646154052160095,13.43,3.00,17.10,130.39290,9.69650,32.97170,22.50320,8.02810,1.49750,1.34,2.61780,4.83280,1.2096159484022282,1.8996617812852312
2014-12-31,,34.20,3.61,40.94,101.83700,6.44790,17.08920,8.88780,8.59760,1.41150,1.31,3.93770,5.34400,-0.3977754237288136,-0.5702519379844961
2013-12-31,,13.68,2.99,12.37,91.89670,14.13800,30.14370,21.96910,3.27760,2.59460,2.43,3.98350,3.91210,-0.026302217637957703,-0.2174407582938389
2012-12-31,,,,,156.85400,19.53130,31.64850,28.69970,4.66010,2.26590,2.11,4.13200,4.27640,0.6069060773480663,0.5365569472764347
2011-12-31,,,,,28.77140,17.58620,20.75210,19.68010,0.00400,1.24710,1.10,5.32000,4.57010,-0.232563069747721,-0.17831498324557205
2010-12-31,,,,,26.60640,19.76840,30.16370,26.71700,,2.18500,1.96,5.13350,4.63610,-0.04355291401060135,-0.09889216361858
2009-12-31,,,,,,,34.69630,32.61890,,,0.00,,,,
