,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2023-08-31,0.15313287939876008,29.94,3.21,7.66,26.46980,13.66670,13.74150,10.71810,0.00560,1.29830,0.00,,5.24340,-0.05949378574982023,-0.0008160334579534467
2022-08-31,-0.3475200908418744,26.40,2.95,7.85,30.72460,14.78730,15.20790,11.16530,0.00240,1.23330,0.00,,5.23020,0.22904177651445634,0.16427820842014684
2021-08-31,0.6065736320528106,35.62,4.17,10.26,29.80800,13.87480,15.08220,11.68890,0.00330,1.25190,0.00,,5.19450,0.17008694824479997,0.15642035702378254
2020-08-31,0.2605437889587412,29.06,3.35,8.32,29.63180,13.98470,14.69450,11.52310,0.00350,1.40170,0.00,,5.64900,0.03307986551783548,0.06878411721675493
2019-08-31,0.5120716365785232,25.31,2.80,8.00,32.68370,16.26810,14.59000,11.05890,0.00150,1.39670,0.00,,5.33840,0.06887745112083321,0.17714814649695176
2018-08-31,-0.062113303156059896,24.64,2.50,9.32,39.29840,17.23830,14.38990,9.90400,0.00230,1.33820,0.00,,5.46830,0.13626016103555894,0.17844162908483785
2017-08-31,0.3334151298900787,21.80,2.17,7.77,37.43420,16.02010,14.35010,9.52310,0.00260,1.23140,0.00,,5.25420,0.07919374577351812,-0.16214993000788935
2016-08-31,0.14330624921161705,15.84,1.96,8.02,53.11280,21.10540,13.82400,11.81660,0.00330,1.34880,0.00,,5.59230,0.08444207888014743,0.34658029376001487
2015-08-31,0.19532944857285117,17.24,1.69,8.03,49.24790,17.98520,13.47700,9.27730,0.00410,1.26020,0.00,,5.74880,0.03147462441681359,0.038104054464765946
2014-08-31,0.11388440856322934,15.24,1.50,7.20,50.52970,17.71270,13.49190,9.22830,0.00430,1.45920,0.00,,5.62830,-0.00879714567564338,-0.10371500707826431
2013-08-31,0.2659282570882371,12.15,1.41,7.35,65.48700,21.07380,14.27470,10.79770,0.00470,1.45130,0.00,,6.27130,0.12065796954034136,0.28524188274179463
2012-08-31,0.2772546797891169,13.01,1.22,7.31,61.08720,16.95090,13.00140,8.57520,0.00000,1.55230,0.00,,6.64580,0.1155726752989592,0.12110277269340641
2011-08-31,0.11949596525850392,12.50,1.16,6.75,58.68340,16.23010,12.68770,8.32700,0.00100,1.45080,0.00,,5.91820,0.19061418682153364,0.2791224133128467
2010-08-31,0.19033224145999061,10.72,0.95,6.01,62.92010,16.05310,12.62160,7.71040,0.00050,1.45620,0.00,,6.30570,0.10249426502487835,0.11993549535429437
2009-08-31,0.289809878281863,,,5.27,57.23650,15.81420,11.41030,6.86190,0.00030,1.44100,0.00,,6.89250,,
