,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.1374575358128387,4.86,0.88,1.05,27.00840,2.14110,25.98830,18.15650,0.64350,,0.00,,,0.5530495552731893,0.09488193183032378
2021-12-31,0.5392082759865526,8.47,0.94,0.65,14.50160,1.66460,18.14170,17.97840,0.43770,,0.00,,,6.591639871382637,-2.566884312740666
2020-12-31,-0.23254011887394432,0.00,0.71,0.45,-8.74330,-0.99460,2.84430,-13.65690,0.55860,,0.00,,,-0.7693733778272154,-2.79585087191822
2019-12-31,0.3358025333876904,12.35,0.82,0.60,6.15610,0.78490,10.84310,6.68600,0.52430,,0.00,,,22.86725663716814,-555.3333333333334
2018-12-31,-0.32088108875488675,0.00,0.67,0.52,0.17970,0.02090,0.47690,-0.01270,0.60270,,0.00,,,-0.8377602297200287,-0.9990138067061144
2017-12-31,-0.06860901911871742,0.00,0.97,0.70,-9.22260,-1.21610,2.81300,-12.28590,0.48150,,0.00,,,-3.5559633027522937,6.166077738515901
2016-12-31,0.07769629050028293,0.00,1.17,0.71,-0.33700,-0.05200,-1.04070,-1.62130,0.40220,,0.00,,,-1.1346343873517786,-1.3866120218579234
2015-12-31,0.12161827579041384,35.73,1.17,0.67,2.46310,0.44720,6.94020,3.76500,0.32420,,0.00,,,-0.6176081617230305,-0.7083277991765174
2014-12-31,0.10733641771315261,8.75,1.02,0.58,7.06060,1.46900,16.43640,11.68990,0.29100,,0.00,,,0.051554584285288474,-0.17127132636213538
2013-12-31,0.4520824520931159,6.66,0.88,0.59,8.91170,1.66410,14.61660,13.19080,0.41250,,0.00,,,0.04224039755668296,1.6425247236765563
2012-12-31,0.5215500689580572,18.88,0.69,0.42,3.74890,0.67420,13.56330,4.82770,0.49150,,0.00,,,0.8017160977429585,-0.8264512872286724
2011-12-31,-0.5202006440747459,2.07,0.50,0.34,18.42220,3.41070,8.23440,30.42780,0.73490,,0.00,,,0.26917613636363646,8.682306940371456
2010-12-31,0.9219516817619597,0.00,0.07,0.05,32.12620,1.93930,5.79990,2.80930,0.75480,,0.00,,,-1.4777199728568198,-1.1671022541653056
2009-12-31,-0.04522359417336108,0.00,0.04,0.03,-45.30610,-1.51230,-11.71950,-16.22860,1.15520,,0.00,,,,
