,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.2797334244702666,28.38,3.76,3.03,12.01030,6.30670,18.69890,14.47950,0.52410,2.40520,0.00,,5.32480,-0.1364669780681217,-0.19638083487559121
2021-12-31,0.11477283550814366,29.78,5.61,4.15,14.38500,8.00670,22.62630,18.82690,0.43620,2.42990,0.00,,5.12070,0.18922859283542137,0.1698004143224896
2020-12-31,0.2154433896735355,31.25,5.42,4.02,13.10320,7.17470,20.59110,17.41800,0.44850,2.54500,0.00,,4.84530,0.1996956920864459,0.1652996119530996
2019-12-31,0.414210870988867,29.68,4.92,3.83,13.06840,6.82240,18.97000,16.52030,0.50300,3.21870,0.00,,5.24260,0.5142586482235965,0.6021389334825873
2018-12-31,-0.060885608856088624,34.51,3.83,3.12,9.34790,5.46290,13.35430,10.99190,0.48890,2.09410,0.00,,5.65650,0.15339443843264045,0.33940098578777733
2017-12-31,-0.024595080983803252,52.03,4.53,3.29,6.62510,4.79180,12.62690,8.94990,0.19720,2.94780,0.00,,5.39390,-0.326297185483698,-0.3054342166390731
2016-12-31,0.2669580087402623,37.25,5.01,3.58,9.94700,7.33400,19.86850,13.65970,0.19850,3.49700,0.00,,6.37010,0.000772283599699719,-0.0021125927954053214
2015-12-31,-0.16407242693773827,29.57,4.32,2.99,10.29860,7.68600,21.21330,14.62630,0.19800,3.76970,0.00,,5.77670,-0.04773869860005442,-0.03755674536155318
2014-12-31,0.3344637558287411,34.22,5.81,3.81,11.33820,8.34550,24.92620,17.00460,0.20540,3.78000,0.00,,5.95880,0.1825047304392442,0.13786300585715883
2013-12-31,0.15326326081642638,29.30,5.43,3.20,11.16160,9.92290,26.23500,18.59960,,3.91280,0.00,,5.80140,0.316327124387614,0.4387393437881455
2012-12-31,0.2673482032218091,36.20,5.41,3.10,8.69610,7.84380,22.88930,14.84690,,3.58910,0.00,,6.28010,0.08201679689247166,0.015355592720901479
2011-12-31,-0.3139213602550478,30.17,5.26,2.66,9.31730,8.56550,25.08760,17.34120,,7.56120,0.00,,5.49240,0.14304085701813385,0.17336759724331263
2010-12-31,0.856748224151539,52.28,8.75,4.03,7.86280,7.27770,24.84180,16.72750,,5.91430,0.00,,5.83690,0.1378065151243959,0.17343896705571127
2009-12-31,0.6792577866136513,32.49,5.56,2.50,8.39200,6.98980,25.99290,16.97110,0.11490,2.32570,0.00,,5.57320,,
