,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.17581573896353175,99.86,0.57,1.44,1.51990,0.40890,0.72570,0.60130,0.93080,0.67660,0.65,,32.58780,-0.8978102189781022,-0.8786610878661087
2021-12-31,0.0019230769230769162,13.82,1.07,1.73,12.57560,3.42630,11.09130,7.73960,1.00450,0.98220,0.97,,11.31140,-1.3859154929577464,-1.3610271903323263
2020-12-31,-0.2281190299831226,0.00,1.80,2.16,-44.31060,-9.42620,-49.77570,-37.12840,1.16970,0.93310,0.92,,7.42920,-2.6698024459078082,-2.7217165149544864
2019-12-31,0.13775218961213564,10.87,0.95,1.91,17.75570,5.91860,12.10570,8.75750,0.34610,0.63640,0.61,,27.18580,0.6531881804043547,0.7597254004576659
2018-12-31,-0.1555499776805771,16.77,0.89,1.94,11.65020,4.00480,7.78070,5.28800,0.56070,0.60740,0.59,,22.57920,-0.4677152317880795,-0.5447916666666667
2017-12-31,-0.159024098885428,8.47,1.10,2.49,27.74570,8.93360,15.30280,12.16110,0.74250,0.80120,0.78,,23.14960,-0.07503828483920372,0.20451693851944786
2016-12-31,0.11967539373885416,12.73,1.75,3.51,27.19210,8.00040,22.04220,13.45150,1.01130,0.80870,0.79,,19.61920,0.006163328197226425,-0.06014150943396224
2015-12-31,0.36244145199063227,11.35,1.73,3.87,35.17210,12.98620,23.18690,15.14830,0.28330,0.92130,0.89,,26.40570,0.3492723492723493,0.40165289256198355
2014-12-31,0.6464733490381314,14.57,1.05,3.38,28.44380,9.97690,17.92100,11.27050,0.37750,0.98080,0.95,,20.72590,0.14797136038186154,0.19094488188976388
2013-12-31,0.7126333004865113,12.92,0.91,2.25,25.03700,8.70160,16.25290,9.85260,0.42930,1.11520,1.08,,33.92110,0.5751879699248121,0.6075949367088607
2012-12-31,0.1476845464719012,7.50,0.57,1.92,22.23790,5.74020,11.42370,6.78550,0.72620,1.15720,1.12,,35.82310,0.18485523385300673,0.28979591836734686
2011-12-31,0.32457275515085926,10.13,0.57,2.04,20.86880,4.74160,10.39830,5.67390,1.11330,1.05700,1.03,,31.75000,-0.04670912951167727,-0.0239043824701195
2010-12-31,0.6403319181783096,7.48,0.49,1.66,22.70670,5.00340,12.29120,6.55010,1.38790,1.16660,1.14,,31.90670,0.7614054744182968,1.0641447368421053
2009-12-31,0.1815404259200144,9.14,0.33,1.27,13.94340,2.43390,7.86520,3.57670,2.12730,1.28740,1.25,,30.40970,,
