,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.25630790627893396,53.78,8.90,7.75,13.67370,2.52510,21.96130,16.48570,3.11640,,0.00,,,-0.24894636015325666,-0.3123028391167192
2021-12-31,0.32887422993008664,48.97,13.43,13.95,28.31000,3.67390,33.47260,27.44180,4.76910,,0.00,,,0.08467532467532468,0.5188098899798887
2020-12-31,-0.004750525944282491,55.13,11.59,20.32,37.02610,3.58110,35.90750,21.02340,6.41090,,0.00,,,0.07405891980360058,-0.10446021824345797
2019-12-31,0.4784915077950549,49.63,12.33,16.94,34.90820,4.47790,35.46560,24.90400,4.38140,,0.00,,,0.4112335958005249,0.5385493072534637
2018-12-31,0.13323140052014448,51.27,8.45,10.62,21.43710,3.83120,25.60450,16.49170,3.58670,,0.00,,,-0.04673738991192955,0.06556665219279201
2017-12-31,0.3768762780006438,46.93,8.11,7.87,17.94640,3.68940,29.98840,17.27970,2.95910,,0.00,,,0.07846735024284945,0.35582244201106805
2016-12-31,0.11214395954742584,46.20,6.75,5.57,13.91040,3.14260,32.02720,14.67930,2.65670,,0.00,,,0.14893353174603186,0.42763489662128085
2015-12-31,-3.5436294096746757e-05,58.04,7.24,5.17,10.01070,2.49770,33.80070,12.46780,2.55020,,0.00,,,0.08465676074467932,-0.2573237688852492
2014-12-31,0.25760483882121354,40.71,7.98,8.01,19.81600,3.77730,36.26600,19.53690,3.58720,,0.00,,,0.2245045519865272,0.4528823778007123
2013-12-31,0.047899167783159724,47.15,7.73,7.16,13.43180,2.37730,36.12490,16.40190,4.03290,,0.00,,,0.08447297938143405,-0.13486943791063
2012-12-31,0.30433376251577937,38.81,8.62,6.66,16.12370,4.21610,38.93370,22.15900,2.37590,,0.00,,,0.21691126925267246,0.6074251756788798
2011-12-31,0.1691186040286914,48.09,7.78,5.50,11.19720,3.11900,37.65580,16.22500,2.12200,,0.00,,,0.17307231629040043,0.06308320998777273
2010-12-31,0.19509260427702357,47.91,8.33,4.63,10.65970,3.60240,39.50860,18.78450,1.59430,,0.00,,,0.16678088371118172,0.5123420993937426
2009-12-31,0.4737408905131586,54.96,8.05,4.12,7.20130,2.80460,38.99150,14.30270,1.26930,,0.00,,,,
