,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.15582608695652178,29.10,8.87,7.62,27.68110,19.96110,34.85500,30.86850,,4.29120,3.29,1.32250,4.74630,0.6513911869845235,0.6084195353771282
2021-12-31,0.9788691193172041,54.50,15.56,11.12,21.13440,14.66330,31.36800,28.52250,,4.33640,3.75,1.64160,5.70760,0.3216524888378183,0.3251039701713163
2020-12-31,0.4285644051130777,30.08,8.65,6.67,19.11150,13.39030,30.19120,27.38100,,4.99450,4.37,1.74210,5.94940,-0.13166212010590073,-0.26166568153364267
2019-12-31,-0.034646416706217265,19.12,6.84,5.37,29.70500,20.54500,33.42480,35.65110,,5.81440,5.41,3.55320,6.15000,1.9478069807998555,1.620847386300568
2018-12-31,-0.10561168180660507,26.91,7.76,7.44,15.30820,10.64620,12.70570,15.24270,0.01650,4.47610,4.04,2.94070,6.48440,-0.41874735924159656,-0.22366003787878785
2017-12-31,1.4344321587268785,44.12,11.26,10.45,25.46470,17.19730,28.56740,25.65930,0.02270,4.27700,3.70,1.90860,6.65540,0.9320234946022972,1.3086382641488807
2016-12-31,0.24319116135662888,38.86,6.25,6.19,16.62630,10.65290,21.55650,16.20350,0.03570,3.32090,2.81,1.71700,4.46100,0.6302482117502077,0.5360366032825421
2015-12-31,,46.89,6.63,6.73,15.36530,10.44080,17.82590,14.22110,0.05230,4.14590,3.75,3.19150,5.80600,0.18958195565399594,0.72908592082916
2014-12-31,,,,7.17,15.63010,10.70870,21.48810,11.79390,0.07660,4.70640,4.17,2.46150,6.02280,0.8974572171494226,2.3156374837560763
2013-12-31,,,,,59.18600,11.64820,18.31220,5.75180,1.82610,1.35070,1.03,1.82860,4.63110,0.6579692708724967,1.1593223861982955
2012-12-31,,,,,165.26550,9.69670,20.62840,4.97500,6.50060,3.82130,3.30,2.53310,3.79960,-0.10141891891891897,-0.30219740372760895
2011-12-31,,,,,,,31.74880,9.86000,,,0.00,,,,
