,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.3977114080574392,40.33,10.23,4.32,10.76300,7.83070,28.69250,25.35450,0.15490,2.09370,0.00,,1.96800,0.15466900617198442,0.15195533921214532
2021-12-31,0.10258383727322706,77.89,18.53,7.79,10.13880,7.18860,26.91910,23.84350,0.16810,2.10480,0.00,,1.96460,0.0340779533081188,0.047800464176156465
2020-12-31,0.4133095062351888,73.20,18.87,7.69,10.58810,7.30380,29.52220,25.80670,0.19480,2.35890,0.00,,2.08580,-0.036276599875737725,-0.03857343865985663
2019-12-31,0.8008255211977056,49.12,14.55,6.39,13.06820,9.32640,33.97600,29.77090,0.14440,2.23770,0.00,,2.21910,0.08071359327197869,0.07611326378539496
2018-12-31,-0.0315061996070195,29.23,9.50,4.51,15.82820,12.84080,36.83990,32.41830,,2.49860,0.00,,2.42340,0.21970782744006057,0.6176408191289524
2017-12-31,0.5957400800086496,49.36,11.71,5.53,11.54370,8.81320,35.67480,23.67050,,2.08740,0.00,,2.81930,0.038501815320990174,-0.024036651658660868
2016-12-31,-0.00010810810810812921,31.89,8.49,3.59,12.02840,9.48520,38.06330,26.87360,,2.16920,0.00,,2.85240,0.06379513626763256,0.05193627460686456
2015-12-31,0.12804878048780477,33.51,9.00,3.72,11.50740,9.25020,37.51560,26.78550,,2.22340,0.00,,3.23070,0.017927759389840148,-0.008516235423456031
2014-12-31,-0.059633027522935755,28.37,7.86,3.36,11.48550,9.25180,37.11990,27.20990,,2.32720,0.00,,3.18880,0.07949655598810668,0.03816538742168607
2013-12-31,0.29492129492129493,30.81,8.96,3.77,11.48400,9.01150,37.37120,28.48470,0.00850,2.42400,0.00,,2.88450,0.09383081905707003,0.20563880029289905
2012-12-31,0.17562849162011185,31.18,7.87,3.22,10.48720,7.80400,36.87300,25.49860,0.02740,1.91320,0.00,,2.55070,0.10805131816281865,0.12623771966237718
2011-12-31,0.10005761474937591,29.99,7.81,3.02,10.29800,7.37910,38.40620,26.12990,0.07270,1.68670,0.00,,2.78920,0.21111607712935787,0.17986443068725033
2010-12-31,0.19811320754716988,31.75,8.35,3.12,10.00910,7.19990,37.78950,26.39130,0.10430,2.29510,0.00,,2.59030,0.19507077181336085,0.31566873727350053
2009-12-31,0.5582646109716745,28.59,6.87,2.97,8.86700,6.06150,35.49670,22.51780,0.17170,1.93240,0.00,,3.36030,,
