,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.004318899190996817,24.76,5.16,-143.70,-616.78330,8.09080,29.40140,20.74690,-25.10490,,0.00,,,0.7555023923444977,1.0629482071713148
2021-12-31,0.43383336499912706,53.65,5.56,55.43,112.95340,4.09810,17.14100,10.29280,8.11050,,0.00,,,-0.24847177274361743,-0.36262061960385983
2020-12-31,0.023660510595537643,24.70,4.40,13.12,56.32150,6.28390,25.13100,17.79320,2.15710,,0.00,,,0.2821576763485478,0.2852480417754568
2019-12-31,0.44673919453845357,32.06,4.47,13.70,45.60740,5.34940,19.69490,13.91080,2.12790,,0.00,,,0.40479274611398974,0.35097001763668434
2018-12-31,0.09642776175937406,30.80,3.24,8.01,26.07250,4.16320,14.33610,10.52930,1.48000,,0.00,,,0.44976525821596236,-0.07504078303425776
2017-12-31,0.2147989362406897,27.49,3.36,6.84,9.35890,1.66740,10.65210,12.26250,1.28360,,0.00,,,-0.41192711209276645,-0.12177650429799425
2016-12-31,0.22488085978027872,20.44,3.04,5.00,22.65000,4.70790,19.24750,14.83690,1.12170,,0.00,,,0.14114681789540007,0.007942238267147905
2015-12-31,-0.015992535295935917,17.64,2.60,3.84,20.68000,4.66090,16.74050,14.60970,0.94070,,0.00,,,-0.19277721261444558,-0.00858983536148894
2014-12-31,0.14293257334171194,18.77,2.19,3.70,21.58050,4.80650,16.32210,11.59820,0.84180,,0.00,,,0.1765409934171156,0.2551662174303684
2013-12-31,0.5243480006280021,21.67,2.05,2.81,14.00850,3.79490,14.14300,9.42020,0.53560,,0.00,,,0.046992481203007586,0.12084592145015116
2012-12-31,0.20288347987397026,16.83,1.46,2.00,13.06860,3.34580,13.86140,8.62430,0.53360,,0.00,,,0.0,0.01430030643513791
2011-12-31,0.02972641653414998,14.58,1.27,1.67,12.43840,3.41770,14.14020,8.67370,0.55320,,0.00,,,0.28295819935691324,0.386685552407932
2010-12-31,0.2181999196339146,30.54,1.37,1.63,9.13800,2.61890,14.61470,8.29420,0.54250,,0.00,,,0.21841332027424087,-0.05488621151271755
2009-12-31,-0.1480252316606756,12.88,1.28,1.64,12.53910,2.96630,13.44310,9.83540,0.36970,,0.00,,,,
