,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.32084106057435346,37.65,2.35,6.16,13.48630,7.07320,17.54710,6.27880,0.19710,1.74880,1.20,4.69460,6.45890,0.08072141099261687,-0.5161157873126668
2021-12-31,0.5912768889229121,27.53,3.80,7.15,26.58550,14.01970,17.22290,13.76420,0.10740,1.56650,1.17,4.97650,5.57830,0.384597280964434,0.41229341838213984
2020-12-31,0.17482794207251962,24.53,2.93,4.57,18.66040,10.91210,15.20400,11.91240,0.06120,1.82560,1.49,5.95500,4.94920,-0.05353624027870141,-0.06783783783783792
2019-12-31,0.1360978637641992,19.94,2.49,4.33,22.19820,12.09940,15.54120,12.36340,0.17040,1.95750,1.56,5.98020,5.07670,-0.14660568807339447,-0.1670418730301666
2018-12-31,-0.2937624701888073,15.17,2.12,3.83,25.87070,14.46200,17.09590,13.93390,0.12890,2.08650,1.70,6.17790,4.92490,0.06946645790158135,0.4981450252951096
2017-12-31,0.3078197106537188,32.61,3.23,5.78,18.02540,9.27320,17.00540,9.89420,0.24950,2.22590,1.85,5.94040,5.05600,0.12818220057560326,-0.09188361408882084
2016-12-31,0.25077684428587865,23.48,2.83,4.85,21.54690,11.29370,16.81750,12.15610,0.21360,2.04020,1.71,6.25930,5.17810,0.13179625863285915,0.15411806291975982
2015-12-31,0.37336521510060994,21.45,2.40,4.13,19.61450,10.75990,15.73430,11.15320,0.17260,2.14830,1.81,6.84930,5.05880,0.389623335916897,0.3614051973051009
2014-12-31,0.05890961213296819,22.53,1.94,3.19,15.04380,8.26140,12.19020,8.82000,0.16200,2.17940,1.84,7.18530,4.95580,0.152026474127557,0.2245138479670008
2013-12-31,0.7299933923811928,25.47,2.01,3.20,12.77190,7.09600,11.57490,7.87910,0.14440,2.04030,1.71,7.13550,4.69540,0.21728515625,0.06931316950220534
2012-12-31,0.5947360320147761,15.80,1.47,2.09,13.61700,7.13530,10.56050,8.18340,0.20410,2.20150,1.88,7.87820,4.55880,0.46494992846924177,-0.4808635917566242
2011-12-31,0.06878835811452078,4.97,0.83,1.43,10.24130,4.73390,8.17310,17.87200,0.42510,2.35940,2.03,7.11340,4.64310,0.1918158567774937,1.7367949865711725
2010-12-31,0.33029762305568644,13.08,0.98,1.64,6.47830,2.70540,7.87620,7.50020,0.29610,1.66920,1.40,7.10690,4.75360,0.13772925535474756,0.3739237392373924
2009-12-31,0.49248781468267944,12.42,0.36,1.38,7.66020,3.06410,7.49820,5.91270,0.32060,1.50620,1.28,8.86970,4.98910,,
