,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2023-01-31,-0.2597145887571112,13.13,1.40,-4.70,-36.00910,14.45210,18.20110,10.58200,-2.20500,1.64320,1.13,6.07190,33.45130,-0.3150821304131408,-0.39984996249062266
2022-01-31,-0.38461264596980904,11.01,1.86,-9.07,-70.86360,17.83940,25.48850,16.91200,-3.19970,2.33260,1.78,5.67980,32.84170,0.25249376558603487,0.5793838862559242
2021-01-31,0.8887556457126202,13.26,1.31,-16.45,-130.86230,7.47560,24.93010,13.11780,-9.63090,1.97420,1.77,5.83570,43.47300,0.5423076923076924,-3.3060109289617485
2020-01-31,1.0787205293076139,0.00,0.47,-4.07,-30.76920,4.54320,19.24140,-6.77150,-3.71100,1.36800,0.83,2.34500,17.66340,-0.15925626515763947,-1.5683229813664596
2019-01-31,-0.25279392821084157,10.79,0.52,-7.92,-74.45090,7.96040,9.34500,4.86520,-6.71790,1.64150,1.01,6.68110,36.06810,-0.2841435185185185,-0.34486266531027465
2018-01-31,-0.542286654476063,12.14,0.95,-15.57,-130.89220,12.06280,13.67950,7.78180,-7.71500,1.62140,1.01,6.18790,40.74840,-0.1372940589116326,-0.15112262521588948
2017-01-31,-0.03857379234269431,11.97,1.11,-18.79,-159.28470,14.17380,15.92970,9.20950,-7.89000,1.72050,1.18,6.79650,42.76870,-0.08622262773722633,-0.07581803671189147
2016-01-31,-0.27267155667854337,17.07,1.76,-80.97,-485.65890,14.75330,18.03520,10.30940,-22.17440,2.21650,1.62,6.19430,46.56710,0.12237583205325131,0.2024952015355086
2015-01-31,0.15756428529967548,17.38,1.58,931.56,5484.21000,13.93790,17.05080,9.09730,248.52630,1.90530,1.29,6.41510,45.45240,0.12048192771084332,0.1539313399778517
2014-01-31,0.4567704626543492,11.82,0.99,-28.42,-244.71550,12.54520,16.17930,8.38210,-13.48510,1.72510,1.09,5.44550,44.15160,0.10807374443738071,0.19920318725099606
2013-01-31,0.35004804170590864,12.67,0.91,-9.17,-74.26040,12.51040,15.03970,7.19950,-4.41520,1.43370,0.78,6.04880,51.52220,0.2705977382875606,-0.11411764705882355
2012-01-31,0.29204087318496175,9.34,0.77,54.13,615.94210,13.91620,11.94520,8.20150,25.63770,1.55180,0.90,6.32600,47.54130,-0.03582554517133951,0.05590062111801242
2011-01-31,0.4479141948649803,6.63,0.56,3.49,54.50240,12.47870,13.35690,8.37410,1.69740,1.72340,1.04,5.79650,41.43530,0.47926267281105983,0.796875
2010-01-31,0.8616630037439119,6.53,0.34,1.32,20.51280,6.24560,10.05560,5.19000,1.24680,2.45840,1.67,5.40410,39.41550,0.4736842105263157,1.0363636363636362
2009-01-31,1.0086738542082614,,,0.61,11.52000,3.09810,6.51330,2.43280,1.54510,2.28450,1.34,5.10740,38.31780,,
