,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-09-30,0.051156636797574206,37.35,3.34,2.47,6.46760,3.08880,12.09860,8.95070,0.63540,1.04220,0.63,3.22360,8.61250,0.01421590404264772,-0.15634365634365632
2021-09-30,0.018767415770998497,44.82,3.68,2.80,6.77510,2.97780,11.76620,10.46470,0.74380,1.33380,0.92,3.82790,8.14090,1.468201754385965,1.6101694915254239
2020-09-30,-0.06753304498166868,79.73,3.78,2.66,1.48130,0.65170,5.67380,4.77170,0.75450,1.53680,1.07,3.38170,6.70310,-0.4818181818181818,-0.2911275415896488
2019-09-30,0.22204223295365777,59.89,3.69,3.00,5.84910,2.38190,10.17930,6.25800,0.91980,1.17840,0.72,3.49050,7.37310,0.16633532140490392,5.80503144654088
2018-09-30,0.06618106882216668,540.87,3.87,3.04,1.48150,0.57700,9.44130,0.99480,1.02390,1.02700,0.69,3.55530,6.89220,-0.00854139290407363,-0.845631067961165
2017-09-30,0.3123419212331604,37.93,3.21,3.10,8.49680,2.91510,12.58580,8.51730,1.45740,5.57540,5.03,3.37070,6.93410,0.06433566433566429,0.055327868852458995
2016-09-30,0.09227673381260826,35.30,2.77,4.45,12.79800,3.81850,11.45560,7.81860,1.51330,1.44700,1.06,3.77660,7.71510,0.33147113594040967,0.40431654676259
2015-09-30,0.12641030545029963,33.91,2.32,3.40,9.69990,2.62480,10.44540,6.75940,1.78980,1.29170,0.85,2.85200,6.35480,-0.3312577833125778,-0.4135021097046413
2014-09-30,0.282690834685821,16.25,2.28,3.70,23.45140,9.52040,19.01490,14.03030,0.78590,2.74320,2.07,2.77260,7.11540,0.2796812749003985,-0.08352668213457082
2013-09-30,0.4426674662038419,12.94,2.08,3.23,18.42520,7.64670,15.58230,16.05410,0.78720,2.75730,2.10,2.76960,6.49520,-0.19448010269576377,0.1051282051282052
2012-09-30,0.07226651508949633,11.49,1.76,3.08,26.83750,9.77030,20.21280,15.17900,1.00730,2.69060,2.06,3.02580,6.16640,-0.06426426426426424,-0.07946498819826908
2011-09-30,-0.09698567736586838,10.45,1.76,2.62,24.87480,11.51440,21.95410,16.75900,0.56330,2.56050,1.88,2.91170,6.17270,0.05221448491731118,-0.03537465562647513
2010-09-30,0.0938521021168488,10.58,1.97,2.47,20.51390,11.55200,22.21070,18.49440,0.31250,2.69510,2.01,2.99330,5.91050,-0.004595258674376379,0.06983337974980564
2009-09-30,0.17574784782646358,,,2.48,22.69900,12.54590,22.75290,17.62780,0.36780,2.61490,1.96,2.86290,5.97840,,
