,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-09-30,-0.17468687346351797,8.16,1.22,0.83,10.84000,4.75110,21.43610,14.95780,0.71830,1.33620,0.00,,6.54280,-0.053920533333333354,-0.29409751924721983
2021-09-30,0.3892858749943753,8.91,1.64,1.15,17.73490,8.66670,22.25390,20.81180,0.59860,1.72390,0.00,,5.89940,0.7875869959004671,1.2377488514548238
2020-09-30,0.013873871407780403,11.18,1.58,0.82,7.24160,3.62980,18.84310,14.07710,0.53530,1.47980,0.00,,4.51420,-0.2849546663030881,-0.338622552329507
2019-09-30,-0.09307608281888735,9.72,1.93,1.13,11.34670,8.29540,25.87400,20.89820,0.07040,3.04960,0.00,,6.75730,-0.27674785524110046,0.5865024102838778
2018-09-30,-0.23287584271802753,17.18,2.15,1.25,7.27570,5.16360,32.68920,12.03640,0.07140,3.40730,0.00,,7.31750,-0.10427063551649518,-0.5566110550377011
2017-09-30,0.11571014739108576,10.73,2.82,1.38,13.83530,10.20700,35.42290,26.34930,0.08480,8.19880,0.00,,6.38010,-0.04286257767257029,-0.018358783074950424
2016-09-30,0.09729967086217028,8.59,2.24,1.15,14.03000,10.91820,35.74650,25.92630,0.16630,9.30270,0.00,,8.33190,-0.21862226891852665,-0.15197943952948156
2015-09-30,-0.3250797297580832,7.85,2.01,1.25,16.84330,12.88410,38.08930,25.45450,0.17250,8.23590,0.00,,9.48530,-0.06010180674847665,-0.14628691983122366
2014-09-30,-0.02348273945658541,9.81,2.74,1.90,19.74800,14.74410,37.93490,27.91060,0.17600,7.08650,0.00,,8.93830,0.10266011707116696,0.10939474792866166
2013-09-30,0.38898790149016915,10.14,2.71,2.01,20.31450,14.10430,36.58490,26.75390,0.21480,4.42080,0.00,,7.68600,0.16145833333333348,0.11283012970776696
2012-09-30,0.3514206047786166,9.14,2.48,1.78,19.62500,12.98510,35.42040,27.03420,0.28450,3.87920,0.00,,8.35220,-0.054364989848860956,0.002454308093994717
2011-09-30,-0.10923354944800834,7.04,1.89,1.45,20.00020,13.21740,37.25210,26.82070,0.23820,3.14370,0.00,,9.23440,0.3579414918057897,0.33161810722481055
2010-09-30,0.06486755163183511,10.63,2.62,1.95,18.77640,13.55520,33.46490,24.57030,0.12680,4.58620,4.36,,8.55420,0.628729230313805,0.6150696408236056
2009-09-30,0.7178163530683546,,,1.83,11.84490,9.55060,28.67360,21.23050,0.01590,4.26940,3.85,,7.20870,,
