,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.15421807269089705,13.23,3.98,2.98,22.12060,12.06150,35.30580,29.94970,0.46910,2.99170,2.58,1.69470,5.96680,1.0581022232408892,0.958036115930853
2021-12-31,-0.02017479375969955,23.07,3.28,3.22,15.76320,7.23530,15.89190,14.16990,0.66360,1.82790,1.51,1.56100,7.08770,-0.6542446070816458,-0.6110333449982503
2020-12-31,-0.1748053786270347,10.01,2.97,3.49,37.99800,16.49340,37.54300,29.75620,0.69490,1.84040,1.56,1.68930,7.02510,-0.2832904041121177,-0.32060796467691266
2019-12-31,-0.013923966502724983,9.43,3.91,3.39,44.14470,21.62160,48.98210,40.95520,0.44640,1.72330,1.56,2.43150,7.64580,0.1959716747662137,0.3290225020877062
2018-12-31,-0.05540383589164066,13.93,4.62,4.55,34.33190,17.69160,43.77200,32.93490,0.45550,2.31880,2.04,1.95320,6.86900,0.10153763673582294,0.7449883817100547
2017-12-31,0.2187699058673649,26.73,5.53,5.35,21.19450,11.28880,43.55420,20.68700,0.47140,2.33750,2.07,1.80570,6.86840,0.03767707746957316,-0.3142756832667172
2016-12-31,-0.07432682483722852,15.45,5.01,4.65,30.47100,16.15480,44.99770,32.34230,0.53740,2.55340,2.26,1.47630,7.94170,0.053301983234512296,0.04392444319142941
2015-12-31,-0.09751057900052418,18.41,6.13,6.58,38.32790,18.42210,45.43930,32.95310,0.69610,2.59930,2.25,1.38840,8.77250,0.2312146003775959,0.20860024533187937
2014-12-31,0.21417722383525772,25.25,7.65,6.79,27.20180,20.54950,40.93970,30.24540,0.05390,2.04450,1.68,1.45650,7.50800,0.5792716864117038,0.5759007678676906
2013-12-31,0.9100365564044863,32.95,8.86,7.06,21.60350,15.69880,36.28570,26.86450,0.06910,1.81140,1.44,1.30150,8.40870,0.3553904439423683,0.3494604839159643
2012-12-31,0.33003145785623267,23.42,5.87,4.58,19.81730,13.62310,33.64200,25.01660,0.16380,1.95750,1.69,1.21930,8.03160,0.07604724556456777,0.11795341648115554
2011-12-31,0.6413138627078192,21.05,4.96,3.82,19.70890,13.99710,34.16150,24.45070,0.16560,3.25940,2.90,1.42810,8.63600,0.38098021521528347,0.22795300381090522
2010-12-31,0.2532699288220144,15.61,3.37,2.73,16.48930,11.10380,26.47960,21.31430,0.22090,2.41920,2.14,1.38470,7.79150,-0.035924834050857335,0.03622290574890852
2009-12-31,0.12324155399249248,13.33,3.00,2.27,15.60330,11.42520,29.59390,22.16260,0.17570,3.46960,3.06,1.29990,7.94140,,
