,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.259014613597377,0.00,1.35,2.01,-3.97930,-1.69100,5.60120,-2.84080,0.45830,1.31760,0.90,3.65290,3.55090,-0.09541984732824427,1.7442922374429224
2021-12-31,0.1897294672012566,0.00,0.91,1.41,-1.97060,-0.93460,6.38960,-1.06820,0.40170,1.65040,1.22,4.13500,3.62800,-1.081987733133058,-0.9779678068410462
2020-12-31,-0.1512605410525485,0.00,0.62,1.10,-86.39950,-41.46870,-77.16980,-48.00770,0.41840,1.60900,1.18,3.95970,3.68290,-15.87709497206704,-78.65625
2019-12-31,0.229429270764818,103.65,0.51,0.68,0.78550,0.50780,4.50540,0.53700,0.19190,1.52010,1.06,4.21140,3.71540,0.5320970042796005,-0.3435897435897436
2018-12-31,-0.30418765873000986,43.14,0.34,0.55,0.80830,0.53970,3.06420,0.85240,0.20640,1.65980,1.15,4.08900,3.83260,-3.4683098591549295,-2.8932038834951457
2017-12-31,-0.2765909522646476,0.00,0.80,0.78,-0.90080,-0.61240,-1.65320,-0.59960,0.21740,1.99670,1.51,3.13800,2.85600,-1.6214442013129102,0.0
2016-12-31,0.4078044531381326,0.00,3.19,0.00,1.24540,0.85170,3.49340,,0.01860,1.50000,0.85,3.14830,5.10420,-4.311594202898551,0.0
2015-12-31,-0.1769215530280399,0.00,0.93,0.70,-3.85180,-2.62040,-0.82690,,0.24670,3.33980,2.29,4.18000,5.18740,-1.0482686253934943,-1.0599185573007563
2014-12-31,0.01465778818634611,8.11,0.57,0.74,9.24190,6.00480,11.64520,7.00180,0.22070,2.59760,1.72,4.84680,4.53140,0.4669061056952284,0.5684306569343065
2013-12-31,0.36962003190071435,12.69,0.62,0.77,6.15790,3.94860,8.71490,4.90070,0.24460,2.46720,1.62,4.77680,4.35270,-0.11085766423357668,-0.1639969488939741
2012-12-31,-0.14903072020110741,7.68,0.47,0.58,7.62680,4.93460,10.26170,6.13740,0.28470,2.52590,1.61,4.59030,4.43630,-0.15692307692307694,-0.2461184588844163
2011-12-31,-0.14131757177480386,6.77,0.59,0.74,10.91830,7.01490,13.11080,8.76910,0.25490,2.79750,1.88,4.73740,4.06540,0.834862385321101,1.1416256157635467
2010-12-31,0.4305546038837347,15.66,0.84,0.95,5.73290,3.56300,9.83070,5.63340,0.27190,2.77380,1.95,4.31150,3.65650,0.9357923497267759,0.9287410926365796
2009-12-31,0.28217998652883125,16.10,0.70,0.94,5.77980,3.68040,7.57450,4.35640,0.24710,3.85930,2.72,4.02890,4.14590,,
