,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.19129718459766432,15.30,1.81,0.88,7.13030,0.63090,,14.45710,1.19230,,0.00,,,-0.28399311531841653,-0.3350225225225225
2021-12-31,0.40539211417389387,12.76,2.36,1.02,9.82240,0.84850,,21.97750,1.01120,,0.00,,,0.040286481647269445,0.03768624014022781
2020-12-31,-0.12909968168424057,10.19,2.06,0.75,8.75780,0.77210,,22.12380,0.95050,,0.00,,,-0.20028637909432612,-0.1987359550561798
2019-12-31,0.0953923818040987,9.87,2.03,0.97,11.74200,1.17090,,25.91130,1.16150,,0.00,,,0.07607858243451471,0.04963144963144961
2018-12-31,-0.10852015788235503,10.16,2.14,0.96,11.43640,1.17230,,24.81250,1.27770,,0.00,,,0.12624728850325373,0.051136363636363535
2017-12-31,0.15677356441456558,12.31,2.87,1.12,10.81920,1.10660,,24.87310,1.28060,,0.00,,,-0.024338624338624326,0.1305109489051095
2016-12-31,0.17039586411506402,13.27,2.73,1.05,9.88660,1.06400,,22.46200,1.00420,,0.00,,,0.09375,0.13787375415282388
2015-12-31,0.03300563295323333,12.51,2.43,0.95,8.89490,0.81820,,20.02130,1.07220,,0.00,,,-0.07948007670999357,0.22807017543859653
2014-12-31,0.1828678094853713,12.25,2.33,0.95,7.18190,0.68800,,15.57180,1.03840,,0.00,,,0.21991161944372228,0.2242757242757243
2013-12-31,0.3864582240408492,10.20,2.03,0.83,5.95080,0.58340,,13.27320,0.97220,,0.00,,,-0.01762002042900923,-0.16199246546672252
2012-12-31,0.32133803374792036,9.76,1.56,0.62,6.94830,0.70060,,16.26280,0.96210,,0.00,,,-0.022710257050162164,-0.03669354838709682
2011-12-31,-0.328450714216047,7.43,1.21,0.54,7.53660,0.78980,,16.83750,1.06950,,0.00,,,-0.01741049534085337,-0.006012024048096198
2010-12-31,0.09393626359769747,11.00,1.90,0.85,8.00540,1.07050,,17.99630,0.96470,,0.00,,,-3.2345205479452055,-2.825164594001463
2009-12-31,0.0075544718466431515,0.00,2.92,0.86,-2.80320,-0.38310,,-18.66980,0.94700,,0.00,,,,
