,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.19001613923285077,23.35,3.21,4.64,20.39010,6.55340,16.70960,13.70700,1.26360,1.24590,1.14,4.33390,4.66910,-0.04754260311187952,-0.09536745782098943
2021-12-31,0.028868787290480036,18.55,2.81,3.50,19.48010,6.41640,17.45820,15.07820,1.23740,1.52100,1.43,4.74460,4.95090,-2.1785766264008153,-1.7758180809761508
2020-12-31,0.003917677022779564,0.00,3.00,3.30,-23.74480,-7.59190,-16.16020,-21.20280,1.33770,1.58240,1.47,5.67650,5.00150,-2.3811055276381907,-3.6214015702239024
2019-12-31,0.2786315462769404,25.58,3.55,2.41,6.69270,2.66270,19.02850,13.15360,0.90400,1.60370,1.37,1.88170,3.40210,-0.16638739946380698,-0.30101626016260163
2018-12-31,-0.1290950250526195,14.46,3.18,5.04,35.01810,14.13990,26.45270,21.80750,0.52020,1.66290,1.55,5.41170,3.92570,0.16312609627752872,3.885799404170804
2017-12-31,0.07717059698776496,85.28,4.01,6.90,8.22990,2.90600,24.69680,4.84690,0.67210,1.55330,1.43,5.15780,3.29780,-0.13254437869822489,-0.7740632712586942
2016-12-31,-0.1349612015482342,17.63,4.04,4.75,27.57080,13.37110,30.44730,22.94230,0.41040,1.55010,1.41,4.00400,3.50480,1.8478574867597497,1.8479233226837062
2015-12-31,0.1923789502507447,55.67,5.46,6.22,11.30750,5.13730,12.54230,9.45050,0.46370,1.29910,1.15,3.20150,3.85210,-0.12767744645107093,-0.21906187624750495
2014-12-31,0.1418445975249374,37.74,4.76,5.00,13.54200,6.01200,14.99470,12.62040,0.52270,1.72650,1.54,2.52050,4.68410,-0.1764095468695953,-0.21810378462738977
2013-12-31,0.699524762488376,25.59,4.02,4.27,16.93360,6.68530,17.64420,15.64240,0.54740,1.52060,1.40,3.08340,4.87650,-0.30671462829736207,0.3083205717202655
2012-12-31,-0.03783005953853513,20.29,2.24,2.79,18.33850,6.96720,23.66500,11.11740,0.54220,1.15000,0.95,2.78210,5.71550,-0.4026643747314138,-0.47068359902728996
2011-12-31,0.39427874997125567,11.28,1.96,2.58,33.15060,15.95390,32.86100,17.42140,0.34610,1.96890,1.79,4.04480,5.67570,0.1498929336188437,0.19773462783171514
2010-12-31,0.08744006351548195,9.72,1.54,1.89,28.85920,14.52250,31.15890,15.85920,0.34820,1.96960,1.79,4.38290,5.59890,0.1411654135338345,-0.7083254672456107
2009-12-31,0.14776812301333897,2.99,1.69,1.85,29.89520,14.25440,28.28580,56.32710,0.43020,2.21100,1.99,3.63770,5.94440,,
