,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2023-06-30,0.30956719783319153,31.18,3.24,8.69,28.14430,7.65920,15.44990,10.40440,1.52330,0.58070,0.00,,6.22270,0.23226662336274595,0.16972732331663876
2022-06-30,-0.2524948903921286,30.60,2.89,8.51,28.08980,6.59950,13.31030,9.44280,1.97640,1.01140,0.00,,6.02930,0.11980590630623245,-0.015342465753424572
2021-06-30,0.21127242702786342,22.17,3.29,9.96,30.26200,6.74280,13.58910,10.96380,2.14890,0.97930,0.00,,6.08770,0.08593408320276574,0.18378378378378368
2020-06-30,0.2629895986365558,30.06,3.08,10.20,34.34580,9.45850,13.79770,10.21200,1.32750,0.99030,0.00,,6.36720,-0.042739563691989724,-0.04065546567102263
2019-06-30,0.30580433761494397,27.36,3.18,12.01,42.75450,12.42300,14.96490,11.05180,1.30410,1.29870,0.00,,6.56960,0.09163929765886292,0.12666510867025016
2018-06-30,0.07874693817395206,29.50,2.92,11.16,39.09910,12.94820,13.81090,9.88240,0.96260,1.27510,0.00,,7.04050,0.1198497678465289,0.3093635250917992
2017-06-30,0.390857913434449,24.87,1.98,7.88,32.55300,10.37530,12.89050,7.88880,1.09790,1.32850,0.00,,7.02730,0.06757337065173918,0.0627642276422764
2016-06-30,0.2587478648791004,21.06,2.06,6.50,29.41180,10.70420,17.26610,10.61440,0.97130,1.86040,0.00,,6.38950,0.07132171157029576,0.07105538140020884
2015-06-30,0.1891030436116612,18.60,1.99,5.50,30.94420,12.12360,17.32980,10.65620,0.74300,1.69270,0.00,,6.06120,0.11645121951219517,0.09163498098859324
2014-06-30,0.19583786914425572,16.57,1.70,4.36,27.34740,11.99760,16.34870,10.28150,0.54500,1.81790,0.00,,6.02170,0.29393564356435653,0.23998114097124001
2013-06-30,0.773808883486268,12.81,1.13,3.19,25.99270,10.50940,13.29600,8.72550,0.64280,1.71890,0.00,,5.49460,0.6087613781788841,0.7160194174757282
2012-06-30,0.04494691464189149,17.73,0.94,2.50,14.69720,6.28900,8.72150,5.36570,0.61660,1.89470,0.00,,6.21390,-0.25509862810530215,-0.27122641509433965
2011-06-30,0.058322824716267485,10.45,0.84,2.90,21.54770,9.02310,12.44640,7.82690,0.65760,0.96000,0.00,,5.32930,-0.21163402513884833,-0.10736842105263156
2010-06-30,-0.0013662338279495367,5.48,0.62,2.31,27.89000,12.54460,15.48520,8.60040,0.40160,2.04030,0.00,,6.23540,-0.011271676300578015,-0.14912673533363197
2009-06-30,0.8364751058166424,,,1.87,24.54350,8.04050,16.69080,10.77180,0.35650,1.43490,0.00,,5.44090,,
