,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.3858095906182021,11.88,3.24,1.20,12.20240,4.21600,34.05170,27.30980,1.73240,,0.00,,,0.09347237717449697,0.710817515512179
2021-12-31,0.2621614994461752,32.96,5.66,2.04,7.86650,2.82550,33.51220,17.17850,1.63580,,0.00,,,0.06927700862234643,-0.4244868230755937
2020-12-31,-0.2835491654031751,14.94,4.65,1.55,12.51520,4.45660,32.73410,31.17590,1.59290,,0.00,,,-0.11381863138080606,0.6872204197763749
2019-12-31,0.2607901050832997,35.02,6.04,2.23,8.34370,3.06320,34.50690,17.26140,1.50180,,0.00,,,0.11810866087422478,-0.107125572423722
2018-12-31,-0.1088406997728617,24.77,5.22,1.72,8.89150,3.51770,33.62750,21.06480,1.34010,,0.00,,,0.006139013996101728,0.26642533616262365
2017-12-31,0.05894563426688637,35.10,6.10,1.96,7.11780,2.90350,34.89940,17.36840,1.26770,,0.00,,,0.0996942178954523,-0.10023393093562416
2016-12-31,0.007064591289596578,29.88,5.86,1.88,7.37170,3.02350,32.37330,19.69110,1.23500,,0.00,,,-0.0277630903365349,-0.12280870266815225
2015-12-31,0.021328083300149903,25.85,5.96,1.88,10.40620,4.35890,34.09980,22.98870,1.16500,,0.00,,,0.059293833294671305,0.3220767886292428
2014-12-31,0.35534812820177897,33.48,6.04,1.83,6.82930,2.64530,33.45110,18.06890,1.27640,,0.00,,,0.18241904087772065,-0.41609886835797316
2013-12-31,-0.005546919718114829,14.42,4.97,1.51,10.28180,3.48750,31.75400,34.73380,1.63570,,0.00,,,0.05903132959874813,1.5608631106507858
2012-12-31,0.08559133719903178,34.51,5.71,1.88,5.06590,1.84610,34.66470,15.68060,1.58170,,0.00,,,0.05809167370468171,0.062238016128854934
2011-12-31,0.18151059879822928,34.51,5.46,1.77,5.59620,2.04930,35.12700,15.82770,1.60790,,0.00,,,-0.006413199096330202,0.7141860289680142
2010-12-31,0.3160254726732572,47.91,4.95,1.54,3.74990,1.39460,39.46530,10.30720,1.56840,,0.00,,,1.4942759244008403,-0.3114183555974963
2009-12-31,0.275200098320864,23.72,3.53,1.14,5.18320,2.12770,16.08410,15.21640,1.32560,,0.00,,,,
