,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.1599991690817446,17.39,2.14,1.79,10.51250,2.66790,16.64740,12.30830,0.32240,,0.00,,,-0.302871556072953,-0.37779599484717175
2021-12-31,0.2788393291382907,9.75,2.04,1.34,14.29980,4.26830,25.16420,20.84560,0.29430,,0.00,,,1.2035057716973063,1.416926125106142
2020-12-31,0.014153840202322021,18.85,1.85,1.11,5.94370,1.85190,12.99660,9.81550,0.27510,,0.00,,,-0.196771978021978,-0.20678042209250114
2019-12-31,0.2292280179748718,14.92,1.95,1.18,8.04970,2.51720,17.03620,13.02870,0.29410,,0.00,,,0.08717565801754712,0.12417970721857641
2018-12-31,-0.09632219330124747,13.92,1.68,1.07,7.87490,2.36160,16.37380,12.10990,0.27850,,0.00,,,0.15477473593446867,0.0261590261590261
2017-12-31,0.12808180698351035,15.89,1.90,1.18,7.54510,2.31170,14.38760,11.97470,0.27310,,0.00,,,-0.23284273193319005,-0.06626360338573156
2016-12-31,0.15556753707156634,13.11,1.71,1.12,8.56550,2.58780,19.21570,13.13990,0.30060,,0.00,,,0.6662992559933867,0.4590684544812986
2015-12-31,0.04238622452916352,11.60,1.73,1.11,9.72710,2.77010,19.11310,14.92600,0.37040,,0.00,,,-0.03663392620122108,-0.006659656501927791
2014-12-31,0.13728057224647316,11.42,1.70,1.07,9.64270,2.90390,19.64950,14.88190,0.19970,,0.00,,,-0.16530024374030583,-0.24081958488557742
2013-12-31,0.3372486334508398,7.72,1.51,0.99,13.03730,3.97630,23.43080,19.51090,0.19800,,0.00,,,0.39894606323620585,0.3887657058388765
2012-12-31,0.17536224320526062,8.00,1.20,0.78,9.82890,2.92400,17.98620,15.08700,0.17290,,0.00,,,0.4075043630017452,0.7571428571428571
2011-12-31,0.14496499064211932,11.56,1.08,0.74,6.32910,1.76360,13.61530,9.14820,0.18950,,0.00,,,-0.40652511651993783,-0.5008103727714749
2010-12-31,0.264140305062615,5.15,1.00,0.68,13.42820,3.70100,24.12850,19.27400,0.20280,,0.00,,,0.16959418534221693,0.21027854060415851
2009-12-31,-0.018482330574223216,4.92,0.83,0.63,12.96080,3.26880,21.90380,16.90880,0.16880,,0.00,,,,
