,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-10-31,-0.21056196913649228,35.22,4.11,1.88,5.37720,3.35700,15.34280,11.66120,0.38520,1.19790,0.71,1.85910,5.93120,0.003558521154606531,-0.8689849560226848
2021-10-31,0.1532651983329929,7.03,7.10,2.96,42.41860,30.65420,17.30710,100.75960,0.21330,2.00150,1.20,1.65080,5.67150,0.6221947544546211,11.35192953020134
2020-10-31,0.13102776819184703,66.30,6.51,4.09,6.23300,3.53840,12.82650,9.80710,0.46880,1.26860,0.70,1.57100,5.58310,-0.4296692884580209,-0.4891793443325476
2019-10-31,0.26269052102357926,31.14,5.48,3.93,12.86170,7.43800,20.60380,17.58880,0.50330,1.04750,0.59,1.76880,6.09560,0.3562388101615457,2.335954253037884
2018-10-31,0.16836009599545654,92.84,5.04,3.84,4.22940,2.28860,15.91520,5.52350,0.61150,2.03340,1.16,1.92090,6.75950,-0.060591703565602506,-0.6248323947438992
2017-10-31,0.24587856257177232,31.91,5.56,3.69,11.74190,7.67490,20.06080,17.43340,0.36930,2.40650,1.26,1.70270,6.75620,0.3239736735656671,0.3614457831325302
2016-10-31,0.30403675820135634,31.45,4.37,3.18,10.19700,6.13810,16.47860,13.92620,0.49470,1.72510,0.96,1.90020,6.74950,0.36924361248685567,0.34594594594594574
2015-10-31,-0.1717680271599915,36.74,4.16,2.75,7.67040,4.59880,13.17120,11.32380,0.50460,1.47940,0.74,1.73170,6.35200,-0.22769686054175398,-0.2458941064864224
2014-10-31,0.30942883582055725,29.63,4.66,3.04,10.50170,6.09710,17.84200,15.70960,0.53400,1.79030,0.93,1.64150,6.21750,0.0017686191206323087,-0.08878916498678047
2013-10-31,0.3398159457295893,21.62,4.03,2.55,12.25120,9.46390,19.26940,18.65250,0.14220,2.32600,1.27,1.65500,6.91710,0.07955951684892515,0.19252715038717239
2012-10-31,0.3124953730331834,18.91,3.25,2.09,11.23480,8.45330,19.61050,17.18450,0.16890,2.50560,1.29,1.62750,6.16800,0.24539904260887102,0.41560166448155944
2011-10-31,0.25280515102601364,19.07,2.50,1.70,9.05450,6.68430,17.09870,13.18200,0.19640,2.02220,1.07,2.07440,6.19630,0.1982182264513177,0.5551891350407347
2010-10-31,0.4802645474706939,20.21,1.96,1.35,6.76770,4.46740,16.39270,9.73680,0.36670,2.46260,1.32,2.11400,5.86620,0.2672959374332693,0.1218820861678005
2009-10-31,1.3306443176853544,12.59,1.17,0.82,6.52760,3.94010,13.87020,9.30640,0.50730,2.87250,1.39,1.85520,6.32040,,
