,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.7145447543005459,7.89,1.79,2.92,38.91420,19.90860,35.52150,22.73720,0.34670,1.45940,1.37,28.33060,11.59090,1.1122611464968153,1.3121673474439906
2021-12-31,0.8669675231657636,11.01,1.84,1.91,17.79280,8.91120,28.57560,16.70980,0.43900,1.33520,1.24,15.31620,7.24870,-7.414113277623027,-3.9911144020733063
2020-12-31,-0.36000458387871337,0.00,2.00,1.28,-8.89480,-4.24000,-11.18610,-14.02680,0.51490,2.24860,2.06,9.51600,6.99200,-1.2014213577707125,-1.3757128947002366
2019-12-31,0.06640812219186132,8.74,1.72,1.73,20.70470,10.29160,29.16280,19.60460,0.42500,2.40140,2.26,12.26610,10.78210,-0.03169141615356752,0.14895317244685957
2018-12-31,0.15624385946707342,9.81,1.59,1.86,19.66380,9.00970,28.51760,16.15670,0.46680,1.79500,1.66,14.56110,9.52230,-10.860714285714286,-8.31812865497076
2017-12-31,0.11942829038261449,0.00,1.71,1.73,-2.57460,-1.08090,-3.43730,-2.62400,0.63970,1.75720,1.64,12.65000,7.54260,-0.7112657901521011,-0.7634854771784232
2016-12-31,0.10168379321799481,0.00,2.07,1.42,-10.10330,-3.96450,-15.92370,-14.83990,0.77430,1.24610,1.10,11.69550,7.13530,-0.34376586026053124,-0.18360433604336046
2015-12-31,-0.29011931661135415,0.00,1.48,1.13,-10.90510,-4.48380,-19.10780,-14.31390,0.62070,0.94950,0.83,14.78470,6.85310,-1.5653213465952565,-1.6446353180957927
2014-12-31,0.015460679979430347,9.37,1.16,1.22,11.10900,4.98290,18.83390,12.37280,0.43170,1.30610,1.19,18.13970,8.15590,-0.3225346637294285,-0.24978156400174745
2013-12-31,0.2705291481609864,6.90,1.08,1.19,15.31090,6.80770,26.49710,15.71900,0.41270,1.25740,1.18,19.99580,6.86320,-0.06838896601678035,0.08637873754152814
2012-12-31,0.08329123567216223,5.99,0.81,1.01,15.44800,6.38620,26.71930,13.59270,0.44860,1.37530,1.32,27.70160,6.75280,-0.01363419861871873,-0.32229012544226443
2011-12-31,0.10949226711425486,4.13,0.48,0.72,10.93250,4.69100,25.42190,18.82280,0.34410,1.07660,0.91,6.65840,3.99790,-0.13631922661593043,0.09491107589364334
2010-12-31,0.38797482309186737,4.38,0.25,0.71,14.91120,6.59250,30.70500,17.93320,0.34140,1.26410,1.08,4.99880,4.00550,0.7290833111051835,1.573176257362936
2009-12-31,0.02882590607933433,7.42,0.24,0.59,7.17420,2.95260,7.38040,2.89650,0.45760,0.89330,0.69,20.97470,11.53160,,
