,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-09-30,0.26259881517844175,16.64,0.12,387.04,2338.25900,2.94650,0.99180,0.71200,80.01390,0.91060,0.55,14.80360,12.80990,0.005163530927451809,0.10317858191140905
2021-09-30,0.3803160965261203,15.77,0.11,41.50,264.30150,2.69390,1.10020,0.71960,11.43700,0.93820,0.57,13.47220,11.63680,-1.4584286444514762,-1.451763068557193
2020-09-30,0.17005406264117595,0.00,0.10,-22.64,404.88460,-7.67830,-2.70430,-1.79510,-4.90630,0.97640,0.61,14.67140,13.24710,-5.618466942825126,-4.985101097192427
2019-09-30,0.16452088452088454,19.27,0.09,5.37,28.53580,2.18050,0.61910,0.47630,1.50120,0.95100,0.58,15.77280,14.49150,-0.22980450069544112,-0.4842242998543781
2018-09-30,-0.17573842829198327,11.37,0.11,5.97,52.98070,4.28960,0.85960,0.98750,1.52870,0.92910,0.50,13.70370,14.84320,0.3615485019729745,3.5500076820930415
2017-09-30,0.1951681728158463,54.56,0.11,7.95,17.65520,1.03210,0.69240,0.23800,1.83760,0.90620,0.48,12.96500,14.86350,-0.30505885182735926,-0.744746412461684
2016-09-30,-0.2333035683096376,11.39,0.11,7.46,67.05770,4.24510,1.03900,0.97240,2.09570,0.90390,0.48,13.29520,16.00390,2.6137211322660194,-11.334954583288098
2015-09-30,0.16384555476361995,67.98,0.13,28.06,-22.41540,-0.49410,0.31050,-0.10160,6.06640,0.94240,0.49,13.57570,16.53440,-0.4601106404232279,-1.5038289027458702
2014-09-30,0.2994169057705196,57.99,0.13,7.63,14.39910,1.30860,0.65410,0.22930,1.01980,0.97390,0.48,13.56630,18.94050,-0.1295023567699839,-0.3677067697777532
2013-09-30,0.6596679754392789,28.67,0.14,5.20,21.27110,2.60820,1.02140,0.49310,0.60210,0.96790,0.50,12.23970,14.53410,-0.31084774132279647,-0.39677963131410066
2012-09-30,0.1795200775632222,11.62,0.11,3.12,31.01470,4.93040,1.66960,0.92080,0.56860,0.98160,0.50,13.78760,20.63110,0.09591575782897865,0.01749445249524495
2011-09-30,0.10314695910414873,12.17,0.11,2.81,24.32960,4.65530,1.51150,0.89790,0.47610,1.04600,0.55,14.00610,20.74300,0.08937660839064754,0.10973886058534932
2010-09-30,0.323898257885769,11.74,0.09,2.36,21.31820,4.36310,1.40390,0.81870,0.45480,1.08500,0.56,14.48180,20.32050,0.23556435643564355,0.26490225408574153
2009-09-30,0.4791809207311115,9.91,0.07,1.92,18.84260,3.77120,1.23150,0.70150,0.43370,1.05000,0.53,14.00810,18.32240,,
