,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.16588109790944372,15.80,4.45,5.02,32.99800,9.93990,40.55070,28.04820,1.42950,1.55770,1.42,13.80350,11.31230,0.07668930997497325,0.10182491404390381
2021-12-31,0.2570582138006767,21.62,6.65,5.99,28.00740,9.32870,44.67340,30.19490,1.21230,1.73440,1.58,10.06490,10.90770,0.2824392480513527,0.36745027124773966
2020-12-31,0.2711179719093795,24.36,6.37,5.10,21.09080,6.94850,41.21710,26.12680,1.27420,2.19960,2.05,8.60260,11.60420,-0.12145015105740187,-0.16991894326028223
2019-12-31,0.18039871884367442,16.91,4.64,4.50,28.07890,8.70690,41.59340,27.90480,1.36880,1.52390,1.40,12.09960,12.10650,0.019716574245224994,0.0066485343003928055
2018-12-31,0.14123036189181892,15.18,4.14,3.80,26.30370,9.00920,39.74690,27.01220,1.17310,1.33940,1.20,12.59320,12.12870,0.30887096774193545,-0.39517455675379276
2017-12-31,0.5543051723980954,8.44,4.12,3.10,37.16460,15.30820,32.60870,47.95760,0.80220,1.01110,0.82,9.15590,11.76080,0.089950190448286,2.191948658109685
2016-12-31,0.42079323191555407,18.21,2.83,2.62,14.65710,4.83990,30.83390,15.48470,0.96570,1.21910,1.02,8.03440,11.80060,-0.0477120535714286,-0.12906504065040647
2015-12-31,-0.2675175530856476,11.54,1.94,1.92,16.86660,5.66410,30.34460,16.66240,0.90290,1.45490,1.28,10.76860,12.02750,-0.008026570716855752,0.02127659574468077
2014-12-31,0.2851558694593277,16.24,2.51,2.81,17.24230,5.83000,28.51840,15.21040,0.87170,1.22070,1.09,16.58610,11.22140,0.04031097034264319,0.033798283261802675
2013-12-31,0.4933081175443701,13.32,2.09,2.37,17.74560,5.86500,28.87910,15.49980,0.90970,1.07340,0.97,17.10710,11.43160,0.002598152424942324,0.0005367686527106841
2012-12-31,-0.039222880304698005,9.37,1.44,1.84,20.39190,6.06390,29.44830,15.83780,1.07620,1.11640,1.01,15.40150,10.55930,-0.0017291066282421053,0.004854368932038833
2011-12-31,-0.0028397212543553874,10.26,1.60,2.13,21.89420,6.31820,29.41930,15.71850,1.09130,1.09700,1.00,17.81670,11.79500,0.1299251058287203,0.1861804222648753
2010-12-31,0.3577122312368428,12.69,1.88,2.20,17.96550,5.55420,28.87360,14.69540,0.99590,1.12530,1.04,16.79360,10.71100,0.35286343612334803,0.36745406824146976
2009-12-31,0.532497190705767,13.07,1.66,1.71,12.86500,4.19530,25.10780,12.64240,0.91330,1.37800,1.27,15.95570,9.08640,,
