,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.4124495925522622,4.62,2.10,1.43,32.11150,20.16970,57.55170,44.82380,0.17230,1.85330,1.80,22.46030,6.90920,2.330562659846547,2.5125541125541124
2021-12-31,0.23496726713857163,9.72,2.24,1.16,9.86540,5.81910,45.34650,33.48800,0.26620,1.75080,1.72,21.00000,3.32590,4.283783783783784,4.746268656716418
2020-12-31,-0.0434395408668119,22.94,3.70,2.44,9.07040,4.44300,20.19100,13.71080,0.51170,1.06670,1.03,42.93330,6.63350,-0.6903765690376569,-0.7048458149779735
2019-12-31,-0.2118409911315121,8.68,2.88,2.62,31.65250,15.17640,46.27300,32.96230,0.56710,1.73230,1.69,46.79870,6.09770,0.23866110063849355,0.22252680672766734
2018-12-31,-0.2107038116720089,14.13,3.70,3.63,26.67630,13.26660,35.27190,25.45730,0.58720,1.89560,1.86,67.76590,4.63930,-6.102469716111894,4.548623908041398
2017-12-31,0.2326123362581498,103.38,6.01,4.15,3.97770,2.12370,-8.57380,5.69050,0.60300,1.21410,1.20,74.81900,6.47020,-0.7322565439567645,-1.2406790306959081
2016-12-31,0.32531496458892994,0.00,7.25,3.34,-16.24530,-8.14290,-48.88430,-36.09350,0.59220,2.77680,2.73,41.19230,5.73980,5.3538494586892025,2.6624843051689773
2015-12-31,-0.40076786006352927,0.00,4.25,2.87,-5.66850,-2.16810,-6.55150,-8.39190,1.00350,0.61470,0.54,34.07790,10.89630,-1.8373401390013748,-2.090199869816595
2014-12-31,-0.23431784177119241,96.81,4.47,4.48,4.87550,1.92120,4.88660,4.80750,0.81760,0.82850,0.80,37.42190,9.09180,-0.8074882442661733,-0.6265972770782027
2013-12-31,0.5612599818885322,45.29,7.35,5.73,12.69040,5.61670,31.58620,16.02110,0.52030,0.92890,0.89,22.91510,7.84930,0.8014602235242632,1.1238366355423977
2012-12-31,0.31334892081469357,44.17,6.81,3.83,6.18030,2.85360,25.41920,10.93610,0.51000,0.60860,0.58,20.46530,6.98620,-0.0021639237412417467,0.07615515325795696
2011-12-31,1.0095601515501298,50.59,6.37,2.93,5.81570,2.82600,31.31560,12.49230,0.45140,1.00720,0.95,10.55390,8.46400,0.15167073889333027,0.1839900953707465
2010-12-31,-0.12860473096903213,19.90,3.46,1.64,5.52070,2.58140,30.86990,11.97840,0.52060,0.66820,0.57,5.90480,9.13450,-0.05608125582334578,-0.30306114882400925
2009-12-31,0.6825014434467516,23.47,3.96,1.93,8.18440,4.02730,31.60610,16.61020,0.44410,0.91180,0.82,6.24590,10.00420,,
