,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.07610566581456701,28.94,0.37,1.64,5.84030,1.82460,2.40210,1.28660,0.73270,0.94190,0.67,10.31390,11.82240,-0.41287046160842866,-0.47547408343868525
2021-12-31,0.5486949644916865,16.40,0.44,1.71,10.47740,3.38970,4.51640,2.70790,0.74520,0.88500,0.62,9.89880,11.95660,-0.05161383078139603,0.10182476668059626
2020-12-31,-0.051494584620472406,11.56,0.31,1.19,10.33130,3.12120,5.17700,2.67170,0.92750,0.90890,0.61,8.86580,12.35880,0.16050721615083008,0.08215254748266498
2019-12-31,0.17264386254065345,13.10,0.34,1.35,10.33350,2.98090,4.66830,2.58360,1.06720,0.94370,0.62,9.06140,13.08950,1.9810992290475005,-12.168350168350168
2018-12-31,-0.07031758283718692,33.57,0.30,1.25,-1.01810,-0.30340,2.06650,-0.30530,1.25430,1.02800,0.65,9.51050,11.03620,-0.5784231495072343,-1.089700996677741
2017-12-31,-0.05746471302397571,9.43,0.34,1.64,17.59120,6.97040,5.16160,3.58360,0.71630,1.01900,0.52,10.03190,14.01910,-0.08164837280955128,0.24543915741959754
2016-12-31,-0.17834474933655187,13.16,0.39,1.86,14.44320,5.63190,5.84980,2.99470,0.74740,1.18260,0.62,9.92770,14.59600,0.0961477572559366,0.015275921329005238
2015-12-31,0.02900944997884336,17.32,0.53,2.33,14.05800,5.65790,6.18110,3.41640,0.73820,1.25850,0.65,9.05380,12.89450,0.07682691214910786,0.1276916451335055
2014-12-31,0.36554552912223137,18.86,0.65,2.30,12.23560,6.26120,6.31350,3.33220,0.33950,1.36560,0.74,9.55570,14.38700,0.09481149682717427,0.011324041811846763
2013-12-31,0.5035098162239846,14.95,0.55,1.74,12.12510,6.43120,6.34030,3.62260,0.35330,1.64180,0.93,9.32350,14.52180,0.11470180305131761,0.18840579710144922
2012-12-31,0.20304249231473914,12.31,0.39,1.22,10.27540,5.84260,5.85610,3.13840,0.26100,1.42480,0.65,9.12180,19.00290,0.138840625493603,0.11611785095320615
2011-12-31,0.1894692818883621,12.02,0.39,1.06,9.16930,5.40570,5.91240,3.23310,0.26320,1.55520,0.72,8.61220,17.70800,0.0316115365813916,0.010213014298219969
2010-12-31,0.0910186910019466,9.02,0.33,0.94,9.07690,5.50440,6.40750,3.57810,0.26680,1.59950,0.63,7.06490,19.44730,-0.044824902723735405,-0.07278138528138534
2009-12-31,0.1318184617862912,9.37,0.35,0.93,10.34440,6.00250,6.54180,3.76320,0.31240,1.42580,0.59,7.52750,17.99800,,
