,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2023-01-31,-0.21853789592760176,20.83,1.19,3.80,18.45860,7.01670,7.89330,5.70170,0.39100,1.50690,0.22,3.55940,,0.23457075695126095,0.21650726711348756
2022-01-31,0.00654711073156844,22.62,1.14,3.83,17.20410,6.11320,6.88190,5.04500,0.44270,1.34300,0.30,4.25520,,-0.0405222734254993,-0.010432968179447055
2021-01-31,0.30062939651980747,17.96,0.95,3.26,18.41930,6.48390,7.40080,5.26040,0.44280,1.35400,0.44,5.17100,,0.4957205706539609,0.6226118500604596
2020-01-31,0.1487506645401384,25.02,0.88,3.30,13.22180,4.22490,5.34590,3.50260,0.60310,1.20380,0.21,4.70470,,-2.343481639169771,-1.5198642192607492
2019-01-31,0.04129760850310005,0.00,1.01,4.09,-28.19120,-11.78270,-4.11640,-6.97010,0.75590,2.04860,0.36,4.48980,,-1.46996101249461,-1.9279589336755527
2018-01-31,-0.15832634423632475,15.95,1.23,3.80,23.86840,10.49610,8.98650,7.70630,0.79060,1.60060,0.49,4.80350,,0.17263208155330934,0.9128542735996428
2017-01-31,0.3903861103912929,20.42,0.88,3.38,16.62860,5.70770,8.22810,4.32550,1.17300,1.87000,0.51,4.99840,,0.624082118700581,2.1735127478753546
2016-01-31,-0.0005180005180004388,67.77,1.17,4.34,6.40810,1.77600,6.77300,1.82210,1.66700,1.87840,0.50,3.75730,,0.00913285906556438,-0.5287049399198933
2015-01-31,0.09718670076726355,24.52,1.71,8.19,33.56860,17.15580,12.09230,6.96570,0.38250,2.31500,1.11,5.37630,,0.0720397963598467,0.004189710072062924
2014-01-31,0.24742998936547322,18.37,1.42,8.98,50.96950,21.52680,12.37580,7.61070,0.65760,2.00860,0.50,4.87830,,0.05455895505282515,-0.0364928144679475
2013-01-31,0.39102564102564097,14.81,1.25,5.39,37.14390,22.50360,12.44300,8.37510,0.16270,2.17910,0.74,4.87990,,0.17644875409730432,0.26827769813639146
2012-01-31,-0.02394417037660923,18.52,1.53,7.29,36.31560,20.96970,11.79550,7.36450,0.19750,2.08160,0.59,4.90220,,0.2414279365079366,0.2290460609111502
2011-01-31,0.4819900142653353,16.23,1.10,4.28,27.23100,16.68980,10.70990,6.75400,0.18270,2.50240,1.00,4.72520,,0.22854842323610192,0.23962558502340103
2010-01-31,0.7416149068322979,12.18,0.78,3.03,22.42510,13.99750,9.80270,6.12670,0.18720,2.74340,1.32,4.96380,,0.4018605258942185,0.39651416122004357
2009-01-31,0.15854843236163996,,,3.09,18.31310,11.27380,7.87530,4.94090,0.21350,2.61820,0.97,4.51720,,,
