,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.36477738471847776,0.00,2.34,4.26,-24.72350,-6.11030,23.99180,-12.95560,1.72150,2.17510,0.00,,12.83750,-0.19603147451248715,-1.0932539682539684
2021-12-31,0.33821468492967854,3.17,4.16,3.90,2.57720,0.94640,28.05180,130.59500,0.92880,1.97120,0.00,,15.30100,0.10887708649468886,1.401270513499206
2020-12-31,0.4114835071028664,6.22,3.90,9.21,69.83990,12.87930,29.63800,63.71710,2.17520,1.79660,0.00,,13.64110,0.48926553672316375,2.1730123180291154
2019-12-31,0.3058747102621959,16.25,3.98,9.42,49.93030,7.88490,23.82560,24.04090,2.80940,1.15740,0.00,,13.38560,0.010273972602739656,-0.29407114624505926
2018-12-31,-0.2562283786488263,10.12,3.02,3.79,33.88000,9.32560,20.25430,29.24860,1.46970,1.59990,0.00,,12.14890,-0.22614840989399299,-3.487708947885939
2017-12-31,0.27113747124431686,0.00,3.81,4.47,-12.58540,-3.89830,22.80650,-10.24480,1.24430,2.17590,0.00,,14.26290,-0.026236559139784954,-1.1399669694467383
2016-12-31,0.08042217519171047,4.27,3.40,2.84,69.12420,30.54890,25.00540,78.14580,0.85020,2.30700,0.00,,15.70610,0.05826126536185705,3.212173913043478
2015-12-31,0.2446474213301666,17.81,3.62,4.59,29.60770,10.96590,25.57030,20.07680,1.02630,3.49270,0.00,,13.88050,-0.11268174474959614,36.5
2014-12-31,0.022874853158039388,0.00,2.01,1.26,-4.34540,-1.91660,28.16840,0.52330,0.38320,1.51340,0.00,,14.65000,0.00896495517522422,-0.9838935574229692
2013-12-31,0.07583465989760363,9.18,1.64,1.09,8.74110,4.98220,29.72020,34.58880,0.17440,1.84220,0.00,,0.63770,-0.15027700831024926,0.09467228823303953
2012-12-31,0.681427292538906,9.34,1.73,1.15,12.50420,7.03730,20.52300,18.54040,0.21660,1.95880,0.00,,1.27050,0.2170248630425622,-0.192009910188913
2011-12-31,0.08982773573005365,4.48,1.25,0.79,18.00890,11.81920,20.36560,27.71200,0.11660,1.88020,0.00,,1.89430,0.15530671859785783,0.7928928373126041
2010-12-31,0.1827400517518707,7.46,1.47,0.86,11.76960,8.18500,22.43340,19.67020,0.11730,2.45000,0.00,,3.04680,0.4099725007310713,-0.24615869510530552
2009-12-31,0.685540275049116,4.71,1.28,0.81,17.32780,12.97840,16.69190,27.37480,,2.32300,0.00,,3.40190,,
