,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-09-30,0.05741275079419328,13.22,2.17,2.59,19.79650,9.05470,22.38020,16.46030,0.63580,1.09370,0.87,5.22180,6.52560,0.29816784869976365,0.40295267042987404
2021-09-30,0.18175305431152533,23.55,2.97,5.40,23.45060,9.41530,18.55670,12.62890,0.67170,1.35000,1.02,5.20630,6.13800,0.11941779689050613,0.17201017811704844
2020-09-30,0.08600618099767443,18.89,2.22,4.33,23.55870,8.69680,18.01010,11.70690,0.88620,1.52220,1.19,5.07050,5.99040,-0.09976176295413941,-0.14787510841283613
2019-09-30,0.31555378136316015,16.32,2.05,4.47,28.13970,11.35780,18.27780,12.55170,0.69150,1.19460,0.88,5.61540,6.15480,0.06165033196332592,0.046754425783023246
2018-09-30,-0.11907134881085313,19.44,2.46,4.71,24.73860,10.90730,18.16980,12.65510,0.52950,1.07380,0.78,5.50250,5.75850,0.12004249291784697,0.4512516469038208
2017-09-30,0.2903884864855566,22.84,2.26,3.93,19.09920,8.55070,18.50110,9.94500,0.53090,1.63570,1.30,5.20810,4.96880,0.00929235167977116,-0.07155963302752288
2016-09-30,0.21003872257151168,17.87,2.01,3.80,21.25230,7.44980,19.26730,11.25880,0.87100,1.24380,1.09,6.83770,5.37650,-0.351113172541744,-0.39667896678966785
2015-09-30,-0.19733972778998554,8.81,1.48,2.83,31.25000,11.49950,26.53700,16.67800,0.84170,1.28830,1.13,7.30510,5.66170,0.19844357976653693,0.2622263623660923
2014-09-30,-0.09627901357616397,15.90,1.92,3.30,22.01240,9.25670,20.28990,12.10740,0.59250,1.28540,1.04,4.84740,3.53320,-0.04713983050847459,0.07135728542914177
2013-09-30,0.36143485311464807,17.58,1.42,3.20,19.27600,8.36060,15.30670,8.12360,0.52640,1.44250,1.19,7.76620,5.13080,0.009625668449197766,0.018292682926829285
2012-09-30,0.17399673548694627,13.17,1.06,2.44,19.38330,8.49780,15.32030,8.06160,0.50690,1.41960,1.12,6.89130,4.89910,-0.11163895486935871,-0.20645161290322578
2011-09-30,-0.16209171807058342,8.92,0.91,2.04,23.73240,10.49410,17.38090,10.23860,0.49290,1.44550,1.12,6.98330,5.38030,0.19977201481903673,0.14602587800369693
2010-09-30,0.3787670707648121,12.28,1.32,2.74,20.40800,8.89110,16.67860,10.28570,0.50900,1.42980,1.07,6.03940,5.27430,0.1160941475826971,0.25522041763341075
2009-09-30,0.20747141191671692,12.01,1.04,2.31,20.23890,8.91570,15.64020,8.57630,0.52550,1.54420,1.17,6.76120,5.54840,,
