,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.3774505462239931,32.68,8.33,2.25,7.34480,3.49950,37.04410,25.41150,1.01070,,0.00,,,0.12308396813479994,-0.16423773011785792
2021-12-31,0.5237605755209476,43.90,14.90,3.48,8.34920,3.96750,36.79100,33.91430,1.01800,,0.00,,,0.07845112638139673,-0.1411851565384007
2020-12-31,-0.180813838141062,25.01,9.49,2.27,9.69290,4.63300,32.85590,38.03250,1.01110,,0.00,,,0.021469013452169117,0.29498777561770684
2019-12-31,0.25908453410090937,39.60,11.92,2.73,7.25300,3.65550,32.94940,30.08490,0.90710,,0.00,,,-0.060307936303318876,0.12593264693594564
2018-12-31,0.03981223077571294,34.44,9.91,2.16,6.46870,3.33990,36.56930,27.86700,0.87680,,0.00,,,0.14661539632985598,-0.09907656924345187
2017-12-31,0.06799955953759906,30.66,9.75,2.08,7.16050,3.66560,32.73860,31.75150,0.88940,,0.00,,,0.06112642585551331,0.05335373269378585
2016-12-31,-0.0013027469773519984,30.13,9.57,1.97,6.96750,3.58840,32.51930,31.77150,0.88410,,0.00,,,0.27063114858050463,0.8121966808454368
2015-12-31,0.18869245514250688,54.19,10.28,1.95,3.96340,2.06720,27.72710,18.99400,0.83930,,0.00,,,0.6434292406482922,0.9413566777056113
2014-12-31,0.48004040659602354,74.35,9.01,1.65,2.21760,1.16630,20.75460,12.03570,0.82800,,0.00,,,0.06787843459367804,-0.22512946668346479
2013-12-31,0.010563678167834434,26.61,6.57,2.01,7.32050,2.71610,30.90540,24.69920,1.51480,,0.00,,,0.12980092800478982,0.2587303442059228
2012-12-31,0.07506303338369258,31.20,6.94,2.06,7.06680,2.63350,31.21070,22.38840,1.49570,,0.00,,,0.24074225395009563,1.9679944510503367
2011-12-31,0.2705595800902376,79.80,6.86,2.15,3.17290,1.16320,28.79880,8.63600,1.51520,,0.00,,,0.21682183856096904,0.19559293922521026
2010-12-31,0.4211624995894354,37.62,4.97,1.79,3.69640,1.31700,26.96460,8.22950,1.66160,,0.00,,,0.0347472291072346,-0.5892457420924574
2009-12-31,0.15596326404913863,18.64,3.86,1.24,3.54670,1.36060,26.14820,20.10370,1.44570,,0.00,,,,
