,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.355037049844138,5.38,2.42,1.52,29.07580,17.40620,67.48940,45.48380,0.39820,0.81120,0.77,13.58210,9.58550,0.6265933516620845,1.010082493125573
2021-12-31,1.2744008990876496,8.05,2.54,1.31,17.18380,9.93970,58.86420,32.10240,0.50490,1.00560,0.96,12.53230,10.12970,-1.7306428049671294,-1.483063980518043
2020-12-31,-0.4600437474008491,0.00,2.42,0.69,-47.65400,-26.51680,-194.66760,-160.57590,0.59310,0.48710,0.46,17.12120,6.43710,-8.879136690647481,-19.820833333333333
2019-12-31,0.009154153665528408,57.26,3.30,0.85,2.11320,1.33870,17.53280,6.05450,0.36030,0.68800,0.66,18.08110,6.25240,-0.3125618199802176,-0.7163120567375887
2018-12-31,-0.2634914617030276,9.91,3.64,0.91,6.67040,4.37580,46.46140,38.87870,0.31510,0.90780,0.87,8.18920,5.55100,0.6710743801652892,0.7551867219917012
2017-12-31,0.249257478295968,21.55,8.63,1.88,9.26230,6.65300,50.20750,40.00000,0.26470,0.62100,0.61,16.46900,5.20260,-9.817056997537053,-3.920610298483949
2016-12-31,0.5106130641577131,0.00,12.06,1.92,-4.10390,-3.08260,-13.01770,-31.30940,0.27520,8.56090,8.55,47.42010,4.38810,-0.9073080065905781,-0.7002804070988036
2015-12-31,0.11910457592389179,0.00,7.89,1.80,-25.97430,-19.91440,-165.70720,-123.25660,0.23130,0.76890,0.76,51.34030,5.66170,-4.480833685992383,-3.841877628964414
2014-12-31,0.13044050143014152,14.32,5.36,1.45,9.87150,6.33090,42.90140,39.08570,0.33930,0.94370,0.93,20.75420,5.05870,1.2340693741202173,2.5494714858849172
2013-12-31,,35.04,8.95,2.50,6.45590,3.58740,45.76590,26.24350,0.54400,0.51080,0.46,3.92030,5.29630,4.500317790489398,-2.49467429697982
2012-12-31,,,,1.30,-7.90380,-6.01960,23.08770,-48.71940,0.00070,0.63450,0.56,2.52960,5.06090,0.142602495543672,93.61398963730569
2011-12-31,,,,,-0.29910,-0.14640,30.68310,-0.78190,0.65870,0.72850,0.00,1.97540,2.81930,0.6498202810151401,-1.0468958814238853
2010-12-31,,,,,,,33.68800,30.20220,,,0.00,,,,
