,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.048287892725637604,57.30,1.87,2.19,4.12480,0.95210,15.33030,3.25870,2.03460,0.61020,0.50,10.90970,7.93060,0.10660486674391656,-0.6835541699142634
2021-12-31,0.41782173153783764,16.51,1.90,2.55,14.28240,2.72720,15.50490,11.52530,2.74970,0.73300,0.67,13.25000,8.70370,-0.20166512488436628,0.18906394810009264
2020-12-31,-0.3420033510179258,13.69,1.38,2.05,13.85930,2.25580,20.03710,10.00000,3.38220,0.74220,0.68,9.68450,7.49830,-0.1386454183266932,0.18832599118942728
2019-12-31,0.34112120909269694,24.47,2.03,3.22,12.96060,2.13710,22.74580,8.22840,3.01050,0.50270,0.45,12.18510,8.52780,0.003197442046362964,-0.07441386340468914
2018-12-31,0.27833024929218153,15.13,1.35,2.33,15.15650,2.55100,22.21830,8.71150,2.86230,0.51620,0.46,14.47220,7.45270,0.030477759472817167,-1.5690255220417635
2017-12-31,0.035682731009403,0.00,0.99,2.75,-7.36310,-0.68390,22.21820,-15.77600,4.97960,0.75610,0.70,14.50420,7.52620,0.18208373904576436,-0.7209001133236199
2016-12-31,0.01883846839599057,0.00,0.93,1.66,8.82870,1.27700,19.19630,-57.72900,3.61350,0.41400,0.34,6.88120,6.62540,-0.10383944153577662,-11.686851211072664
2015-12-31,-0.1518956996385631,16.79,0.65,0.78,4.65300,1.10950,15.25360,3.84670,1.76890,0.54270,0.40,7.99750,9.42070,1.15819209039548,0.9331103678929766
2014-12-31,0.23469945355191246,38.73,0.76,0.92,1.71470,0.41240,7.05690,1.98680,1.75330,0.60380,0.46,8.56300,8.45920,-0.32869785082174463,-0.2372448979591837
2013-12-31,-0.16526657493214936,23.36,0.62,0.72,2.95390,0.74370,10.62320,2.63230,1.62660,0.52550,0.43,8.58910,7.76430,-0.2586691658856607,-0.49090909090909096
2012-12-31,-0.010858530789649712,14.30,0.72,0.84,5.76640,1.49520,13.98890,5.04750,1.46240,0.49550,0.38,7.80140,7.90820,0.27251043530113295,-0.12994350282485878
2011-12-31,0.2603410937936852,13.10,0.65,0.84,6.43660,1.80870,10.41290,5.49520,1.30360,0.69100,0.52,8.86680,8.97710,-0.03786574870912218,0.19272237196765496
2010-12-31,-0.15569612150018808,8.18,0.48,0.72,8.02060,2.02080,13.06700,5.56260,1.64940,0.78610,0.65,9.49220,8.50700,0.035650623885918,-0.1490825688073395
2009-12-31,0.005135423159672747,7.57,0.59,0.89,10.00350,2.49530,12.97310,6.72170,1.74400,0.63990,0.52,9.09270,9.28630,,
