,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-09-30,0.38026610095233715,29.01,7.93,-12.92,-46.57930,25.90380,39.38330,27.12180,-2.31150,1.46240,0.00,,4.27180,0.07304807819754733,-0.047293437120617066
2021-09-30,-0.15139715090795236,29.67,8.90,-98.88,-353.41380,25.00890,38.39540,29.78150,-11.34840,0.98530,0.00,,4.21820,0.7079119772678895,0.6584845882805792
2020-09-30,0.363937226433223,53.91,9.84,37.38,71.40550,14.71830,22.86250,18.26190,2.52030,1.28850,0.00,,3.87380,0.16730954296622325,0.230512585621786
2019-09-30,1.0036363636363639,47.87,7.93,30.32,66.30300,13.40290,21.85600,16.56120,2.84640,0.92840,0.00,,3.90040,0.4458795955725112,0.5189829382837083
2018-09-30,0.22062663185378595,46.08,7.02,23.07,44.00340,9.50660,17.53330,12.64640,2.65780,0.83640,0.00,,3.74950,-0.037330024868384104,-0.05195856506813368
2017-09-30,0.28521333534672233,35.39,4.86,9.96,31.27840,10.62540,19.48260,14.26910,1.41790,0.95190,0.00,,5.54600,0.0741013727062596,0.21897156640596438
2016-09-30,0.26678030657269414,34.03,4.38,8.62,24.49440,8.96620,19.24220,12.41810,1.27710,1.08760,0.00,,5.25290,0.2333524114413379,0.2652655429932256
2015-09-30,0.3038129904103686,31.73,3.28,6.04,19.79460,7.03180,16.39340,10.31280,1.39130,1.17520,0.00,,5.28290,-0.15051214569896465,-0.0882914027340087
2014-09-30,0.15207990460485887,20.07,2.46,3.88,20.87020,7.95770,20.51600,12.02550,1.20100,0.84510,0.00,,5.08060,0.001701806390128402,0.05309950607691882
2013-09-30,0.4975305985848155,22.12,2.69,3.61,16.97740,7.75650,21.73570,12.11860,0.88570,1.50220,0.00,,5.17240,-0.04018223072262683,-0.020749097865310318
2012-09-30,0.17493406584147153,17.27,2.36,3.23,19.39350,7.94090,24.88950,13.60160,1.06240,1.23720,0.00,,4.74370,0.3221451738300729,0.28565439758531075
2011-09-30,0.5379169438373088,11.97,1.41,1.73,15.37340,6.33590,20.54870,11.54820,1.09990,2.48800,0.00,,5.90320,0.12340647028204921,0.11022852444265174
2010-09-30,0.10049152429575114,17.07,1.86,2.05,13.57240,5.73610,18.71550,10.64270,1.09490,2.84230,0.00,,5.35080,-0.029105672950910932,-0.009907529722589348
2009-09-30,0.27004232146199203,,,1.70,10.90590,5.02080,18.50970,10.32160,0.94960,3.86220,0.00,,6.19940,,
