,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.15685583495920752,21.04,2.68,4.50,24.66110,7.50760,19.72150,12.66390,0.96270,1.43140,1.00,2.10430,2.02070,0.10613823102948272,-0.0040661425860666345
2021-12-31,-0.025828672200812308,18.57,2.72,4.23,25.61630,7.54510,20.50470,14.62380,1.00920,1.43560,1.00,1.89490,1.95270,0.1534168119447823,0.3390199637023592
2020-12-31,0.1725079806349541,25.75,3.06,4.71,19.42900,5.69190,19.32100,11.86960,1.09500,1.54670,1.16,2.36890,1.99210,0.09165145650022222,0.15780626181971003
2019-12-31,0.3684855681187158,25.67,2.66,4.67,21.21890,5.50510,17.82290,10.32370,1.27230,1.49590,1.12,2.48400,2.06610,0.1089211916481565,-0.052180840470026024
2018-12-31,-0.20971343136556897,18.30,2.15,2.79,16.74560,5.38990,17.28930,11.71680,0.83870,1.34640,1.00,2.34570,1.99890,3.6744473186119873,-0.06289660321015289
2017-12-31,0.6878928943620213,21.47,4.58,4.25,-4.91670,-1.44570,6.26190,21.16780,1.17680,1.65330,1.20,1.59130,1.23870,-0.4054761460900773,1.5624103299856524
2016-12-31,0.4659271730686483,32.54,2.69,3.41,6.55800,2.12890,10.50060,8.23590,0.94980,1.98110,1.65,3.35710,1.50010,-2.8197945392491466,-0.5723926380368098
2015-12-31,-0.30347545178057067,9.57,1.86,2.43,-11.14080,-3.36080,-5.88120,19.63070,1.12610,2.04490,1.49,2.11270,1.34550,-1.353182426799627,0.5902439024390245
2014-12-31,-0.23723076828658307,21.71,1.93,4.24,19.66750,5.77540,12.72900,9.43630,1.06400,1.53600,1.22,3.37030,2.03350,-0.2959949083503055,0.0520013684570646
2013-12-31,0.30009694445441815,30.60,2.29,5.43,23.63720,7.09810,18.82010,9.33660,1.17800,1.48240,1.14,2.80330,2.10920,-0.11611147856457826,-0.29430226943505544
2012-12-31,0.37044023094082124,16.68,2.04,4.44,29.79160,10.59010,19.54900,12.14700,0.62030,1.92150,1.36,3.33370,3.17580,0.13483109723678988,0.13200327958458602
2011-12-31,0.08496856092063121,14.35,1.73,3.92,32.22910,11.22750,19.34590,12.05090,0.63310,2.03220,1.52,4.11590,3.26030,0.08979610389610371,1.121159420289855
2010-12-31,0.4435814658457429,28.69,1.58,4.05,18.37370,6.58150,17.29620,5.53540,0.53640,1.70870,1.35,5.93900,3.65380,0.15294117647058814,-0.24142480211081796
2009-12-31,0.2590727762803233,15.02,1.21,2.99,22.68110,8.19460,16.54170,8.04610,0.56830,2.09770,1.60,5.54520,3.77030,,
