,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.4219011102518482,0.00,0.27,1.03,-4.98530,-0.84100,3.97070,-1.25330,3.21930,1.20240,1.06,9.54520,10.04880,0.38757461861596276,-1.1104421029157607
2021-12-31,1.3750032109738242,4.17,0.55,1.57,36.83520,6.96790,3.31740,13.15600,2.84010,1.20140,1.07,9.50280,11.99130,-2.0260889292196005,-15.024237685691947
2020-12-31,-0.03883758826724615,0.00,0.24,1.04,-4.14140,-0.47740,-3.46690,-1.00590,5.24760,1.20120,1.09,10.43230,12.72330,-8.679442508710801,-28.21276595744681
2019-12-31,0.296126214058275,405.02,0.21,1.00,0.25280,0.03250,0.36820,0.03010,4.67370,1.16220,1.05,12.48780,16.87780,-0.8207930065563535,-0.9872178406309492
2018-12-31,-0.3429391479877203,6.79,0.16,0.71,10.27360,1.44030,1.99770,2.29330,4.28770,1.19960,1.08,12.14520,14.32230,-0.3437820118828109,-0.5243823567455698
2017-12-31,0.08726366566836585,5.01,0.24,1.09,21.78570,3.00080,3.11340,4.93120,4.33320,1.23470,1.12,11.75030,14.79160,-0.15641202903560314,0.6846807583351493
2016-12-31,-0.07902050785362347,7.67,0.23,1.22,15.76040,1.93320,3.81160,3.02310,4.89840,1.20140,1.10,14.18240,13.67320,-0.596766325179455,-0.37759392377593926
2015-12-31,-0.05441296513827243,5.76,0.25,1.34,25.72150,3.27710,9.59430,4.92990,4.63600,1.24600,1.15,14.95930,13.54450,0.9901525658807213,4.989439480097482
2014-12-31,0.03714793094903768,12.88,0.28,1.62,5.02760,0.58960,5.00430,0.85440,4.87110,6.58040,6.19,15.88630,12.30590,-0.5398557661624864,-0.8970133020998913
2013-12-31,0.22329998989592803,5.53,0.27,1.46,45.69130,5.90860,10.66520,8.13590,4.38660,6.73720,6.34,15.59290,14.94880,0.7577967242539825,1.129520755389275
2012-12-31,0.2258813693158066,5.58,0.24,1.94,35.09910,2.96290,6.67420,4.20260,6.57060,6.48300,6.10,15.35440,12.27790,-0.20025121119684197,-0.7223074259140158
2011-12-31,-0.35914151336548195,1.29,0.20,1.69,134.17820,11.33850,8.21950,14.90580,6.60130,2.14500,2.05,19.25280,15.83250,-0.12989851678376274,2.0807803688462125
2010-12-31,0.6790004164931278,6.34,0.34,-59.67,-1021.34000,3.98150,9.93380,5.08790,-161.97510,1.99210,1.89,17.65270,15.38650,2.8147706968433592,1.4147957305852041
2009-12-31,3.366724865415394,9.53,0.16,-2.60,-34.84970,1.41220,2.88780,2.33650,-16.91530,2.15750,2.07,19.61240,16.16390,,
