,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.11599618381300691,20.22,1.88,2.09,11.29120,4.69850,10.13460,9.27480,0.56300,1.44020,0.88,3.33440,8.24460,-0.31912878787878785,0.2196478220574607
2021-12-31,0.05945809355060927,28.40,2.16,2.33,15.42450,6.41710,14.99790,7.66230,0.56150,1.59360,1.08,3.63520,7.02690,3.149312377210216,1.606280193236715
2020-12-31,0.2765461492674872,70.73,2.34,1.83,4.69140,1.69940,4.50320,3.66270,0.59280,2.12480,1.48,3.18790,5.29910,-0.610260336906585,-0.5197215777262181
2019-12-31,-0.01038618519560075,25.28,1.97,1.53,8.97450,3.32200,11.35360,7.49370,0.59550,2.11960,1.46,3.21900,6.26530,-0.17079365079365083,-0.10950413223140498
2018-12-31,-0.03280845683368616,25.06,2.14,1.49,9.20080,3.87570,13.95040,8.57400,0.43190,2.12440,1.51,3.35250,5.81960,-0.020522388059701524,-2.626890756302521
2017-12-31,0.34632495212268477,0.00,2.60,1.48,-3.68970,-1.80770,15.89560,-5.88180,0.32520,2.75070,2.22,3.56070,5.59820,0.1292134831460674,-1.1654156241312204
2016-12-31,0.362241561785861,6.24,2.44,1.04,23.59520,13.24420,15.16510,38.30670,0.21730,3.28900,2.75,3.82530,6.34030,0.07715582450832081,1.8984689766317486
2015-12-31,-0.18347048300536672,15.29,2.16,0.89,8.08430,4.69380,14.50990,13.62090,0.23650,2.93850,2.45,3.94080,6.64070,-0.3153806317969964,-0.4781328847771237
2014-12-31,0.31216866251607045,10.50,2.58,1.07,12.77390,8.22270,19.87650,24.47760,0.15070,4.40530,3.84,4.28370,6.47240,0.4084609773887673,0.2126466088730239
2013-12-31,0.45015972767740253,10.33,2.60,0.91,9.24520,6.88600,17.53420,25.07990,0.15520,5.09220,4.37,3.53940,6.24020,0.1628498727735368,0.1986552567237163
2012-12-31,-0.002330247236096983,8.45,1.80,0.65,7.59760,5.56940,14.71540,20.41940,0.16060,4.95650,4.42,4.46530,6.15360,-0.3113317757009346,-0.41924032658856936
2011-12-31,-0.3194276530075242,5.44,1.93,0.69,13.33240,10.11560,21.69840,35.70340,0.11320,4.13780,3.67,4.42460,7.29210,-0.04941699056079951,-0.20826306913996628
2010-12-31,0.012317948496432862,6.22,3.35,1.13,18.31570,13.77310,27.15620,53.64900,0.11940,4.46070,4.09,4.85500,6.81600,3.6061381074168795,0.7719123505976095
2009-12-31,1.0557512431920437,10.85,4.03,1.38,12.87590,9.42940,7.24750,37.21970,0.12850,3.58740,3.21,5.70290,7.16470,,
