,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.2966942901375105,16.01,2.27,2.93,15.10880,2.89660,19.11260,14.18440,0.42420,,0.00,,,0.0008330354381469451,-0.007054079486253584
2021-12-31,-0.004974029546447434,12.78,1.87,1.06,8.61940,2.50250,19.47780,14.57030,0.23440,,0.00,,,0.012699263983065867,0.01801924913873565
2020-12-31,-0.08931092308191058,13.57,2.11,1.10,8.34300,2.51930,20.75570,15.44500,0.21920,,0.00,,,-0.03170320554163364,-0.038140616990233744
2019-12-31,0.4233974094546653,14.90,2.51,1.50,10.43120,2.92900,22.43130,16.80360,0.22590,,0.00,,,0.06483678954305594,0.08457145463928395
2018-12-31,-0.17230048795844477,11.76,1.92,1.46,12.95450,3.03740,22.16080,16.29890,0.30750,,0.00,,,0.04214131817974209,-0.5177250645241576
2017-12-31,0.23921683368687985,7.03,2.48,1.59,23.40180,6.21200,22.02300,35.00110,0.23430,,0.00,,,0.06966083116969335,1.6455975946698582
2016-12-31,0.30267627264948005,15.46,2.17,1.80,11.81530,2.51720,21.74490,13.97280,0.30600,,0.00,,,0.01512845249410577,0.043025991273003106
2015-12-31,0.06278134649179412,12.84,1.81,1.61,12.73050,2.60060,22.37960,13.99600,0.30420,,0.00,,,-0.020880387266308253,-0.029172706326124898
2014-12-31,0.5732838068341573,12.29,1.85,1.37,11.24170,2.60490,23.77850,14.99790,0.26200,,0.00,,,0.02994474954350812,0.027375149487579353
2013-12-31,0.5320825156751063,8.42,1.28,1.14,13.43110,2.78810,23.91860,15.12400,0.32300,,0.00,,,-0.012674702137057459,-0.0016096001692724737
2012-12-31,0.20473521542577733,5.77,0.86,0.68,12.13550,2.81900,23.58270,14.74640,0.30000,,0.00,,,0.05590091630192662,0.06469332872047473
2011-12-31,0.10141945317709822,5.46,0.86,0.68,12.89280,2.99980,23.73690,14.72020,0.26310,,0.00,,,-0.029547309650212572,-0.0034177514603119796
2010-12-31,0.37595798414792925,5.60,0.87,0.70,12.55140,3.11940,24.53060,14.81360,0.24610,,0.00,,,0.2767983893864696,0.23191086372986502
2009-12-31,-0.004610178927133002,5.30,0.69,0.63,11.35820,2.40920,20.77020,12.99980,0.30290,,0.00,,,,
