,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.7139690838827006,18.50,1.43,2.74,18.09760,7.90930,12.40660,8.75190,0.63330,2.19990,0.78,2.16510,8.73700,-0.21466949368773702,-0.2742845516935698
2021-12-31,0.5475133019656129,42.35,6.04,10.13,25.13760,11.41030,19.29620,14.73020,0.44260,1.59910,0.66,2.18140,6.83880,0.5051700458771127,0.5702558075852311
2020-12-31,1.2607615071080622,41.42,5.82,10.28,24.97610,10.73180,19.27840,14.10660,0.63670,2.60280,1.66,2.53190,6.62890,0.2873552717492067,0.38425333649214255
2019-12-31,1.0239436619718307,24.90,2.86,6.09,24.42830,9.46510,16.88320,11.48920,0.87030,2.40580,1.36,2.69450,6.89850,0.041945120261156266,0.14968200574704804
2018-12-31,0.003634894991922488,14.00,1.53,4.06,31.68690,9.94180,17.65200,10.88660,1.21370,1.99890,1.03,2.38350,6.20440,0.425109921239736,0.38792315882986683
2017-12-31,0.21551300932744244,19.34,1.85,5.57,28.78430,7.87560,14.92430,9.45100,1.67540,2.08000,1.10,2.82800,6.01290,0.2361604324494948,0.6490934594004885
2016-12-31,0.3684917702384951,27.16,1.85,6.37,24.22720,5.21990,14.00470,6.64790,2.62500,1.99890,0.98,2.67440,5.98590,0.1291545096955964,0.23792557912202406
2015-12-31,-0.36334473909324205,26.58,1.57,4.22,16.68850,4.37120,13.63100,5.90200,2.24610,2.96410,1.44,2.63500,7.23060,-0.3879472988316315,-0.5547467828855812
2014-12-31,-0.1744350282485876,18.78,2.24,6.58,35.64990,9.27540,20.08150,11.95230,2.22140,3.03710,1.71,2.95790,7.72540,-0.1652798998477799,0.00042397401153904113
2013-12-31,0.8772807270485528,22.75,2.66,12.25,55.04730,9.70630,23.65550,11.74740,3.77640,2.60790,1.41,3.05140,9.00970,0.572163449710362,0.8722740096328159
2012-12-31,0.577650306940944,22.18,1.77,4.44,20.10730,5.81250,19.00480,7.92510,1.92790,1.77220,1.01,3.25890,8.71480,0.9786955328772096,-0.7128445708054694
2011-12-31,,4.02,1.63,1.68,42.22240,20.90700,14.26570,40.99150,0.77760,2.31730,1.34,3.06750,7.21910,0.25122929033401253,-4.314307007513884
2010-12-31,,0.00,1.02,1.69,12.90350,4.70400,15.23010,-16.52140,1.49010,3.14380,1.68,2.79640,9.38780,-0.08340100698392072,0.3740513698149732
2009-12-31,,,,,-5.79620,3.21970,16.74670,-12.11850,-1.46950,2.61430,1.68,2.84880,10.86730,,
