,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.38671339063239774,19.50,4.42,4.45,23.41340,16.41880,26.46130,21.20380,0.05740,2.37800,2.34,47.26700,7.02560,-0.049190741164214735,-0.2112372259413675
2021-12-31,0.6517055962737173,26.46,8.14,7.61,30.21560,21.16330,30.55230,29.51170,0.05890,2.92810,2.91,94.81970,6.55500,0.9094216960993595,0.8881273436141945
2020-12-31,0.3102870562893598,29.84,7.05,5.32,18.09490,12.59920,22.58520,22.06190,0.06260,3.06680,3.05,116.39010,5.81590,0.20428851041453644,0.17255335876306677
2019-12-31,0.2910458570311216,27.19,6.16,4.57,17.04860,12.44720,21.14890,21.21810,0.02260,3.37410,3.35,71.96800,5.88740,0.2436782444412149,0.11735424258198845
2018-12-31,-0.010311544342507584,23.70,5.63,4.06,17.30360,13.20320,20.11710,22.46470,0.02260,3.91900,3.89,53.79310,6.45590,0.05141722056688813,1.4274206286526616
2017-12-31,0.35575652354175835,58.26,7.08,4.77,8.30280,6.41780,23.61460,11.42210,0.02600,5.14030,5.11,60.85850,5.92650,0.1038117726429415,-0.3499332580347059
2016-12-31,0.017051444233607382,26.73,5.71,3.84,14.00930,11.62890,26.27170,21.57700,0.02830,6.29080,6.28,131.11190,6.34290,0.2250000000000001,0.2307595096676356
2015-12-31,,33.11,7.53,4.33,13.58590,11.08630,25.81710,21.10440,0.04340,4.66670,4.64,57.36050,5.39140,0.17361784675072744,0.11955291454442563
2014-12-31,,23.97,5.81,3.45,13.11380,10.54290,24.99360,21.41790,0.05040,4.68780,0.00,,6.08360,0.07096020255794322,0.11018613052697712
2013-12-31,,,,,15.07290,11.86440,27.74370,22.93450,0.06010,4.58170,0.00,,5.91260,0.11341622090501668,0.18589922697215244
2012-12-31,,,,,16.10960,12.31690,30.04840,23.32150,0.07720,4.21660,4.18,34.01190,5.36270,0.17816385624254805,0.10270103728047664
2011-12-31,,,,,16.74610,13.41670,30.97740,25.68790,0.07230,5.91920,5.92,376.80000,6.14140,0.13110490318851742,0.14485596707818926
2010-12-31,,,,,18.39280,14.70160,35.40470,29.00650,0.07490,4.15790,0.00,,5.86190,0.248917228103946,0.30444785276073616
2009-12-31,,,,,18.10910,16.10000,35.14440,27.56750,,10.61780,0.00,,7.38860,,
