,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.2309047404376321,8.17,0.58,1.37,20.48960,7.27230,8.98820,7.10740,0.65660,1.35400,0.97,7.79760,6.44370,0.18504672897196262,-0.14155251141552516
2021-12-31,-0.0199541419515048,9.72,0.88,1.80,8.95180,3.22070,8.28900,9.04820,0.61430,1.71240,1.28,7.62510,5.99100,0.0735785953177257,2.6348547717842323
2020-12-31,0.1364969499398745,36.18,0.99,2.21,2.31320,0.57380,8.51120,2.74410,1.02540,1.35640,1.16,7.58860,6.67360,-0.20351624933404366,-0.6065306122448979
2019-12-31,0.17954379783744367,12.65,0.85,1.97,8.99200,2.07340,10.24730,6.68780,1.26520,0.76790,0.51,5.73780,5.58450,-0.4008937120970316,-0.3911530815109344
2018-12-31,-0.2772692349906706,6.77,0.59,1.79,22.64660,4.97970,13.44290,8.63300,1.44300,1.49040,1.01,6.94110,6.61910,0.23200943767204096,-0.06156716417910446
2017-12-31,0.13089933245784113,8.86,0.87,2.88,32.25810,6.22360,11.69570,9.86060,1.70570,1.62230,1.17,6.39950,6.61480,0.12671688081524146,1.3716814159292037
2016-12-31,0.4692166288561279,18.39,0.86,3.80,18.35280,2.41740,11.57730,4.63710,2.59550,1.63920,1.09,6.00940,6.83560,-0.06270764119601324,-0.03624733475479747
2015-12-31,-0.27203935927016487,12.24,0.56,2.89,21.28420,2.72510,11.64690,4.53690,2.37150,1.65060,1.08,6.42410,7.72900,-0.08891411275066208,0.6900900900900901
2014-12-31,0.14122912273046806,28.75,0.69,3.01,10.43130,1.91400,11.19110,2.35000,1.78090,1.62130,1.13,6.70540,7.66040,0.15364469663902236,-0.6021505376344086
2013-12-31,0.26515293819985675,10.61,0.53,1.74,20.36460,5.35080,9.75600,5.94050,1.14530,1.76030,1.21,5.76350,6.25210,0.17607802874743328,0.756926952141058
2012-12-31,0.3912818543526724,14.41,0.41,1.73,10.88010,2.24550,8.91450,3.63350,1.52800,1.78170,1.24,5.59960,6.13480,-0.20973630831642998,-0.39939485627836613
2011-12-31,0.12445574600280684,6.09,0.31,1.17,18.42520,4.76350,9.46840,5.07800,1.41850,2.20680,1.72,8.17240,7.46820,0.2368289011540392,0.9131693198263386
2010-12-31,0.03441173733676606,11.34,0.29,1.03,10.05080,2.80670,7.91530,2.74440,1.22400,1.78280,1.26,7.87470,8.28530,-0.4253171856978085,0.042232277526395245
2009-12-31,1.3583415019531535,10.33,0.29,1.12,10.88730,2.66560,14.84210,2.83750,1.44410,1.88210,1.34,6.98490,8.67010,,
