,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.18694102458556294,11.67,1.32,0.50,7.82130,3.11020,21.78410,11.30620,0.50990,4.44270,0.00,,6.01580,-0.26311374566603285,-0.5090452261306533
2021-12-31,0.3557748408208823,7.13,1.44,0.61,16.19910,6.02530,25.93660,20.20450,0.58270,3.72650,0.00,,5.23260,0.9428500900260366,1.6543445121951224
2020-12-31,0.030156531737528303,13.83,1.19,0.49,7.47800,2.21210,14.97660,8.53940,0.59400,1.81610,0.00,,5.98990,0.13882794066862436,-0.07065698601027115
2019-12-31,0.1270496933283265,11.96,1.09,0.48,7.15770,1.87160,13.21150,9.23100,0.58070,1.61650,0.00,,5.13550,-0.3292391899742718,-0.3603307657453556
2018-12-31,-0.5203547198864218,6.35,1.06,0.60,9.88230,2.85070,22.67360,16.61240,0.85440,1.58310,0.00,,5.86480,-0.05800953795637542,-0.21688991395369472
2017-12-31,0.24666158878875,10.33,2.22,1.29,12.96400,3.66610,24.78730,21.84560,0.76770,1.50420,0.00,,3.33400,0.10994446372787214,0.35917530745116943
2016-12-31,-0.058669208612222024,11.08,1.94,1.20,11.40730,3.37410,24.34100,17.51860,0.85470,1.70490,0.00,,3.57770,-0.15164899882214367,-0.12093269740328572
2015-12-31,-0.12817650013188364,10.68,1.98,1.16,11.08710,3.84510,26.51620,18.41730,0.86360,2.09020,0.00,,4.04050,0.06382645469496429,-0.017085113032607513
2014-12-31,0.11439546766848263,12.19,2.30,1.30,11.01450,4.91200,24.80820,18.64930,0.73760,3.15160,0.00,,3.57540,0.13988573469023402,0.056925787271526085
2013-12-31,0.43265320249900485,11.88,2.38,1.20,10.22910,4.76530,24.11830,19.55390,0.64280,2.83790,0.00,,3.11400,0.32945628655871273,0.34130852163639047
2012-12-31,0.33465503568596344,11.56,1.94,0.85,6.29020,3.25400,20.80290,16.71690,0.56200,2.84250,0.00,,3.73790,-0.04477949838119277,-0.07208441825407708
2011-12-31,-0.14583812862112722,8.27,1.52,0.63,6.69870,3.16380,22.15050,18.32360,0.74390,1.28900,0.00,,4.11690,0.49533912290513094,0.5668885548636462
2010-12-31,0.04727435517751988,15.36,2.01,0.75,6.80280,3.11480,16.91370,13.35260,0.76710,1.30940,0.00,,3.17960,0.21804604583935583,0.44403100775193804
2009-12-31,0.6683902696864192,19.36,2.32,0.82,2.74640,1.91850,18.43340,12.27500,0.09790,1.35790,0.00,,3.90730,,
