,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2023-06-30,-0.17649583788613987,33.22,5.87,7.56,22.79410,13.21810,23.13560,17.64670,0.17100,1.19900,0.00,,5.63410,0.012786888009118869,0.01027786044153478
2022-06-30,0.06225795804606138,35.89,6.72,9.35,26.26740,14.77930,24.42860,18.67920,0.08330,1.12820,0.00,,5.36870,0.1903599252505963,0.16517534650318333
2021-06-30,0.042944785276073816,42.71,7.06,8.94,23.60880,13.33250,22.67740,17.71500,0.07590,1.04390,0.00,,5.22030,0.04753183562910679,0.04989078700769878
2020-06-30,0.12391886237669714,45.92,8.04,8.77,19.14370,12.21620,22.42850,17.48120,0.00020,1.35210,0.00,,5.27050,0.09600760182558998,0.09115250933299013
2019-06-30,0.16442985774913077,35.16,6.11,6.88,19.02610,12.44420,22.36670,17.51060,,1.21170,0.00,,4.73530,-0.028581850059481995,-0.25517896963022624
2018-06-30,0.09389869734961676,25.29,6.48,7.17,27.59460,17.95490,24.30680,24.81880,,1.05060,0.00,,4.61150,0.04619641399169505,0.5901394400616828
2017-06-30,0.3334379867601245,30.81,5.46,7.26,22.24320,12.02550,24.61420,16.53550,0.04840,1.10370,0.00,,4.67350,-0.05514033938046614,-0.07757557249454516
2016-06-30,0.15233493099396167,25.73,4.73,6.34,24.98140,13.70780,26.69770,18.37140,0.00020,0.97340,0.00,,5.02540,0.13777547071870133,0.17823038428944082
2015-06-30,0.27460463852665296,21.42,3.82,4.79,21.30250,11.49920,25.30390,16.81440,0.05310,1.11250,0.00,,5.06240,0.1025570763584902,0.131248158958841
2014-06-30,0.06533225940968479,22.51,3.88,4.54,19.30100,11.10930,24.57420,15.91540,0.00940,0.87400,0.00,,5.05730,0.1497106760728515,0.11398484577292511
2013-06-30,0.5303608686023336,20.34,3.25,3.48,16.50000,10.02220,22.64120,15.13380,0.01510,1.05050,0.00,,4.66580,0.08275329026909395,0.10240726124704036
2012-06-30,0.18323748051912236,16.85,2.57,2.62,15.46610,9.38810,22.75720,14.94010,0.13390,1.16510,0.00,,4.48740,0.07061445499635033,0.10597871551090776
2011-06-30,0.16868076738647764,16.18,2.30,2.52,15.62570,9.12950,22.37230,14.21780,0.17510,0.93020,0.00,,4.30450,0.18690446796486215,0.16629337405616362
2010-06-30,0.2791783716914513,14.62,2.06,2.30,15.70820,7.55310,21.78530,14.08940,0.50470,0.88460,0.00,,3.88410,0.15433287308564392,0.14323679463055994
2009-06-30,0.21324403086813515,,,2.30,16.45670,9.81270,21.17590,13.82820,0.10130,1.04420,0.00,,3.81520,,
