,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.059676952653725746,25.65,4.85,5.88,23.35950,9.57480,22.88220,18.89660,0.51640,0.99090,0.77,2.49050,5.87520,-0.04614506498068138,-0.14067439409905158
2021-12-31,0.11448425888411906,26.70,4.69,5.79,28.20480,11.47030,24.28790,22.26390,0.45600,1.34830,1.12,2.87430,6.13590,0.3806146572104019,0.41892075574283005
2020-12-31,0.10851411571890335,26.56,4.73,6.09,23.25300,8.41310,19.97600,17.81700,0.55730,1.20580,0.99,3.04230,6.08310,-0.04795706371191133,-0.026787485944837597
2019-12-31,0.15352398391811595,19.47,4.32,5.84,25.42250,9.58550,21.11650,18.42460,0.46570,1.25890,1.01,3.05500,5.66670,-0.037279848880493405,-0.011636268549388817
2018-12-31,-0.05135789413489522,18.00,3.66,5.10,25.60080,10.00110,22.06270,18.75070,0.51010,1.47400,1.20,3.15050,5.78670,0.018446217393764508,10.766923076923076
2017-12-31,0.24404685805251636,309.39,4.33,5.38,2.16090,0.82640,23.11710,1.70050,0.57480,1.41100,1.12,2.90230,5.66720,-0.10755946068777456,-0.9214026602176542
2016-12-31,0.15322320790544097,16.50,3.77,3.73,,11.71320,27.54630,23.00740,0.38520,2.47390,2.16,2.67550,6.14500,0.031621171077307775,0.07339866311895649
2015-12-31,0.011580285610160113,15.32,3.38,3.26,,11.55000,27.39390,21.98960,0.27910,2.17000,1.88,2.67430,6.52820,-0.06647862665953408,-0.05599460883416041
2014-12-31,0.1733525831276399,14.59,3.21,3.32,23.40150,12.52170,27.66410,21.95990,0.26900,2.22700,1.90,2.77930,6.76660,0.3291319242453623,0.18017496927192544
2013-12-31,0.3461512156755464,14.70,2.86,2.70,18.67720,10.42410,21.69480,19.39510,0.24550,2.19700,1.89,2.83600,6.08830,0.12312159709618875,0.2743941767253295
2012-12-31,0.1082607826004569,13.60,2.19,2.26,16.21880,8.66440,20.49120,16.14450,0.24940,1.90080,1.59,2.88970,5.94430,0.11439203947900656,0.12210504549214218
2011-12-31,0.09891393878816479,13.65,2.03,2.27,16.94460,8.51080,19.00820,14.87310,0.34390,2.38110,2.11,3.23950,6.14590,-0.27060836726264237,-0.2746362681865907
2010-12-31,-0.005821937502156538,9.04,1.96,2.09,23.56710,12.95720,27.51720,21.65070,0.29650,2.05040,1.82,3.49420,6.30110,0.0756585211044114,0.08706994945377455
2009-12-31,0.11276207442900987,9.88,1.96,2.37,24.24690,12.95490,25.45360,19.81680,0.28740,1.81960,1.58,3.56120,6.41690,,
