,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.08081627613697495,21.71,1.94,2.26,10.52490,5.05000,9.79210,8.88480,0.35780,1.73990,1.44,3.78250,4.31940,0.3396131612903226,0.8638702018203404
2021-12-31,0.633740112668751,44.76,2.37,2.53,5.85370,2.84350,8.18300,5.33640,0.39070,1.57560,1.43,7.31950,4.76210,0.09742251559826798,-0.019782777346780578
2020-12-31,-0.05379896391893124,27.40,1.57,1.50,5.67400,2.74890,7.94360,5.79960,0.46820,1.51370,1.42,8.90300,4.61060,-0.20149231117141564,-0.2527536231884058
2019-12-31,-0.05629387573063671,22.01,1.73,1.60,7.48280,3.90370,9.94740,7.76080,0.36520,2.07900,0.00,,5.05330,-0.22719328905976943,-0.39142705944611045
2018-12-31,-0.03668007898672265,14.39,1.78,1.67,11.75360,6.05450,12.31200,12.19800,0.44350,2.48670,0.00,,6.15890,-0.32531549047099506,0.8514043109079033
2017-12-31,0.02285154104234799,23.28,1.80,1.89,6.54150,3.11380,16.87020,6.09090,0.45640,2.40740,0.00,,5.90050,-0.046757435819391735,-0.4833811371688882
2016-12-31,0.04085887196087401,15.27,1.83,1.82,11.94360,6.13780,17.82930,11.87750,0.43000,2.28810,0.00,,4.73400,-0.024451535087719356,-0.06469938456682978
2015-12-31,0.255122769828652,13.37,1.79,1.91,13.85320,7.36180,18.77390,13.04500,0.42350,1.61630,0.00,,6.22240,-3.1729822537399954,-2.8956027520191445
2014-12-31,-0.0023241212948988954,0.00,1.84,1.53,-6.79600,-4.03680,-9.07050,-7.22480,0.27420,1.85710,0.00,,7.72600,-1.741650069208353,-1.760118235561619
2013-12-31,0.14743055028942642,21.11,1.98,1.23,6.02280,4.25920,12.12010,9.41940,0.13680,2.56970,0.00,,8.07380,0.8367415893351475,1.358176943699732
2012-12-31,-0.036255229998111926,43.96,1.92,1.15,2.66450,1.89680,7.05780,4.27220,0.14280,2.53210,0.00,,9.95760,-0.5018594987873888,-0.5612796988943778
2011-12-31,-0.44718351351260355,20.78,2.01,1.22,5.99460,4.25690,13.90290,9.55560,0.14090,3.02700,0.00,,7.70470,-0.19424168762919336,-0.3125808538163001
2010-12-31,0.3843231931543305,26.05,3.90,2.36,9.37240,7.31470,18.75260,15.10760,,2.18370,0.00,,6.86080,1.4705874211808165,4.285515260814195
2009-12-31,0.5231317483867761,51.09,3.45,1.91,1.97820,1.51810,9.36980,3.52840,,2.09260,0.00,,7.22970,,
