,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.12611376827982557,10.78,2.50,1.31,14.22120,1.02780,,29.34610,2.46460,,0.00,,,-0.2249084987072294,-0.22817882717244053
2021-12-31,0.2772525294777155,9.71,3.56,1.49,18.64100,1.29110,,35.52420,2.42630,,0.00,,,0.663046209688678,0.6965705946734768
2020-12-31,-0.055180679959182966,13.15,2.77,1.27,11.68550,0.86070,,26.74900,2.54980,,0.00,,,-0.20173405251192444,-0.20876392817966627
2019-12-31,0.4726673146762237,11.52,2.82,1.46,15.54640,1.35560,,31.45410,2.43130,,0.00,,,0.10062800510254144,0.1280732032954508
2018-12-31,-0.06645742266916355,9.34,2.22,1.07,14.09170,1.23830,,29.55290,2.64470,,0.00,,,0.13548746518105848,0.3607923073514423
2017-12-31,0.2673135724636555,14.26,2.81,1.20,10.64390,0.96470,,23.65140,2.41880,,0.00,,,0.03949501968959934,-0.011693089252868494
2016-12-31,0.3456657913374688,11.45,2.46,0.99,10.84200,0.99290,,25.03510,2.48640,,0.00,,,0.12487785811999208,0.00807911350492252
2015-12-31,0.08366272358585114,8.79,1.96,0.78,11.03450,1.03930,,25.24750,2.44330,,0.00,,,9.772305286825933e-05,0.12820640533944316
2014-12-31,0.09881187894956978,9.15,1.78,0.78,10.27340,0.84540,,21.82920,3.09790,,0.00,,,0.15085285848172436,0.21259890076704724
2013-12-31,0.36713340751730983,10.24,1.58,0.79,8.94210,0.74040,,17.04410,3.18520,,0.00,,,-0.07753224746688803,-0.1670272173869296
2012-12-31,0.3617709083102876,6.13,1.18,0.60,10.91430,0.90220,,21.22570,3.44510,,0.00,,,0.0810497588694905,0.13143214936247727
2011-12-31,-0.19975140968895888,5.31,0.85,0.49,10.79570,0.83750,,19.59400,3.73440,,0.00,,,0.07602880244579424,0.11443795990865269
2010-12-31,0.02426856196522209,7.50,1.03,0.66,10.32050,0.82030,,18.31850,4.33350,,0.00,,,0.5022359197486101,0.7966719854114428
2009-12-31,0.3419698955000674,12.94,0.97,0.69,7.41160,0.57340,,12.82390,4.53750,,0.00,,,,
