,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-10-31,-0.17161396542540308,28.18,5.86,7.47,27.01270,13.88000,24.61260,20.73800,0.43090,3.00920,2.40,2.29600,5.98900,0.23518518518518516,0.25727069351230436
2021-10-31,0.5634037398743279,37.58,6.81,8.65,23.62580,11.48950,21.85790,18.09350,0.47330,2.92900,2.34,2.40930,6.72240,0.41176470588235303,0.42583732057416257
2020-10-31,0.28705057000876955,31.68,4.71,5.89,19.01730,8.68660,18.12370,14.85430,0.54260,3.12120,2.42,2.22990,6.96530,0.07594936708860756,0.009661835748792313
2019-10-31,0.6531894329896908,31.05,4.47,6.30,20.67240,9.37640,16.52340,14.43180,0.59520,3.20540,2.50,2.50920,6.44160,-2.8045685279187818,2.7636363636363637
2018-10-31,0.4923076923076921,66.37,2.80,4.38,6.78180,2.83310,-10.15990,4.25480,0.73570,1.62650,1.20,2.85460,6.21470,-3.6621621621621623,0.6176470588235294
2017-10-31,0.137544435329505,74.45,2.52,3.59,4.41560,1.71920,4.64100,3.19850,0.88660,2.65810,1.94,2.53740,5.83000,-0.6354679802955665,-0.6955223880597015
2016-10-31,0.2908577479703496,16.91,1.93,3.68,22.14140,8.82510,13.91360,11.48050,0.72240,2.87890,2.14,2.73000,6.67730,-0.058004640371229654,-0.3469785575048733
2015-10-31,,11.06,1.98,4.32,39.40090,14.62370,15.09100,17.96220,0.84410,2.30170,1.59,2.60570,7.17590,-0.08102345415778256,0.3086734693877551
2014-10-31,,,,6.84,50.97530,12.85250,15.99050,13.36520,1.42910,2.40570,1.76,2.63650,7.71840,-0.05443548387096775,-0.14223194748358858
2013-10-31,,,,,36.70680,22.53450,17.17450,15.82410,,1.73570,0.84,2.51990,8.49410,-0.32332878581173263,-0.4565992865636147
2012-10-31,,,,,,,22.11160,25.36950,,,0.00,,,,
