,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.1079363341153281,141.20,7.56,1.36,1.18730,0.64250,32.72960,5.83200,0.74200,,0.00,,,0.33274285098797773,-0.8769207090270118
2021-12-31,0.6947329350378666,14.93,8.41,1.45,8.40440,4.60310,31.09270,59.99210,0.73940,,0.00,,,0.2756181376498743,-0.16072510526267225
2020-12-31,-0.23642874272384395,6.23,5.71,1.07,17.68670,8.63470,31.44100,92.20380,0.94450,,0.00,,,-0.30355725763054686,1.8689747873454357
2019-12-31,0.497714360347417,22.93,6.67,1.61,8.39060,3.76040,41.21100,29.33750,1.07850,,0.00,,,-0.1799756836254578,-0.2087929477691829
2018-12-31,-0.14818935306224623,12.01,4.44,0.95,9.21200,4.53190,50.00210,36.89240,0.90070,,0.00,,,0.3512364941522028,0.1603412101131696
2017-12-31,-0.23737001468880414,16.53,5.08,1.11,7.96200,3.73750,35.89310,30.83930,0.99220,,0.00,,,0.09493555123130926,0.12013175565315226
2016-12-31,-0.013419202276817477,23.57,6.74,1.48,7.14690,3.43830,33.62220,28.23830,0.93770,,0.00,,,0.14574528774172513,-0.6022545310178473
2015-12-31,0.09416465362290638,9.56,6.77,1.53,14.94440,6.82650,29.44650,71.24080,1.03750,,0.00,,,0.10717210162966717,1.2728987960307023
2014-12-31,0.3243925552480953,19.63,7.23,1.47,7.84440,3.74710,31.22200,36.79530,0.93760,,0.00,,,0.24391710450205828,1.054683769039312
2013-12-31,0.06489218274439534,29.98,6.25,1.13,6.04800,2.98490,28.95630,20.65950,0.88510,,0.00,,,0.0710552302117502,0.030774932965779156
2012-12-31,0.23857091432685373,29.49,6.35,1.02,3.60880,1.82540,29.35770,21.76440,0.85050,,0.00,,,-0.020455883589873047,0.5742196046969585
2011-12-31,-0.059403333207930564,37.04,5.00,0.83,2.89840,1.46870,29.19420,13.46730,0.84310,,0.00,,,0.034545770971110334,0.20341865338409382
2010-12-31,0.39038328255155563,46.23,5.22,0.84,2.32780,1.22150,27.79850,11.02400,0.78640,,0.00,,,0.04278390272673649,-2.7791723599453446
2009-12-31,-0.1987279566625103,0.00,3.22,0.61,0.07620,0.03830,27.62380,-6.42060,0.86640,,0.00,,,,
