,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.10608494837730564,28.26,6.29,10.42,37.05960,10.31770,25.36740,22.18860,1.51590,1.14540,0.93,4.25230,12.33270,0.05830422972448579,-0.02343670044007773
2021-12-31,0.11404480685640439,24.87,6.31,9.78,39.43690,10.39070,26.66670,25.27750,1.72010,1.13010,0.96,4.49820,11.00660,0.1457152384128042,0.26126242416419254
2020-12-31,0.024376922530278344,28.19,6.60,10.20,36.49690,8.89850,27.25210,23.46580,2.01060,1.31770,1.09,4.11300,10.50060,-0.10797144556811422,-0.13150224215246642
2019-12-31,0.20613949160013711,23.79,5.70,9.99,42.58700,10.40160,27.06490,23.93600,2.02690,0.75670,0.63,4.32640,9.38450,0.10205419580419584,0.38638483058750395
2018-12-31,0.06792688699600125,27.22,5.12,9.14,33.98050,7.78220,26.68220,18.75800,2.32000,0.86620,0.76,4.25500,9.30800,0.18014184397163113,4.155448717948718
2017-12-31,0.1437258649724662,141.62,4.57,8.58,6.76080,1.45970,21.41560,3.44640,2.51280,1.34390,1.25,5.16800,9.87510,-0.10419313850063527,-0.8087942393136204
2016-12-31,-0.0033775525413624052,22.29,3.49,6.17,28.20840,7.50540,20.67940,15.59130,1.96850,1.28180,1.18,6.15510,10.85660,-0.008134738771769068,-0.11209359270847508
2015-12-31,0.05117197292554532,20.09,3.34,5.63,28.59030,8.18480,19.70470,16.59590,1.71230,1.24010,1.13,6.02410,11.23930,-0.10094767202307375,0.035643843336151004
2014-12-31,0.05265241227346795,20.33,3.11,4.56,23.31080,7.74150,21.10530,15.43110,1.36600,1.01890,0.92,5.77060,10.29960,-0.050840829096597595,-0.17311276794035413
2013-12-31,0.17234098502660555,15.96,2.92,3.99,25.79550,9.57860,21.82950,18.32070,1.10880,1.12560,1.01,5.62130,9.61500,-0.05111791446330827,-0.048231511254019255
2012-12-31,0.06512453610455515,12.34,2.38,3.48,27.39390,10.54380,22.44830,18.78290,0.98320,1.09010,0.97,5.83730,10.08970,0.05956944854025359,0.05067567567567566
2011-12-31,0.09436726377757543,13.16,2.43,3.44,27.08560,10.81100,21.85770,18.44360,0.89500,1.05000,0.92,5.89100,9.45980,0.2092000475454654,-0.2717400526003224
2010-12-31,0.19033975060631425,8.73,2.68,3.25,36.12500,16.23260,23.95570,33.56300,0.29950,1.16590,1.02,4.78980,7.92750,0.022111529583282774,0.7272860492379836
2009-12-31,0.3023808359130964,12.72,2.80,3.39,27.24690,14.18920,26.56020,22.02000,0.46790,1.27910,1.11,4.71030,8.24640,,
