,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2023-01-31,0.0070468175221127805,14.29,0.22,3.14,22.45860,4.53220,2.78300,1.51360,1.33590,0.73500,0.30,15.40740,66.36440,0.186655162496405,0.35589123867069494
2022-01-31,0.004384607803364249,19.28,0.23,3.24,17.66890,3.39400,2.52160,1.20030,1.41730,0.74580,0.33,15.85420,75.43110,0.2507194244604316,-0.35976789168278533
2021-01-31,0.4540004265699775,10.03,0.19,2.59,27.09950,5.31830,2.09810,1.95100,1.40450,0.81370,0.35,14.38440,74.39530,0.23500666370501988,0.5581675708257987
2020-01-31,0.11906377963914627,12.18,0.16,2.28,17.63680,3.34100,1.84080,1.35670,1.64190,0.76460,0.27,13.45200,71.68000,-0.13886763580719208,-0.4665594855305466
2019-01-31,0.07148365853756,6.97,0.17,2.63,39.28530,8.07490,2.14520,2.55230,1.94370,0.75680,0.28,13.89180,76.68470,0.0007656967840734552,0.6308337703198741
2018-01-31,0.03667786527698946,12.65,0.20,3.36,27.35700,5.07840,2.11880,1.54690,2.25760,0.78310,0.32,14.66570,75.30850,-0.24333719582850522,-0.03443037974683549
2017-01-31,-0.189718716433942,14.37,0.24,4.04,29.16540,5.36090,2.99300,1.71240,2.09790,0.80400,0.29,13.64150,69.94360,-0.03467561521252793,-0.03138793526238348
2016-01-31,-0.16401492830485165,16.87,0.32,4.70,30.14120,6.04480,3.25590,1.85650,1.77680,0.76260,0.29,13.86120,63.33910,0.1399426203379024,0.17997685185185186
2015-01-31,0.3170012417218544,16.87,0.27,5.21,32.10220,5.72840,2.89220,1.59310,2.13100,0.78220,0.28,15.03380,85.67540,0.15119266055045877,0.1375905200789993
2014-01-31,0.6480117910020524,10.34,0.16,2.82,28.37810,5.22860,2.77000,1.54410,2.09640,0.82480,0.30,13.82730,88.14960,-0.01410998552821996,0.014696058784235078
2013-01-31,0.5458842137968045,6.98,0.12,2.76,35.78550,6.12160,2.86070,1.54940,2.10700,0.71960,0.25,14.90980,91.93050,1.1627543035993742,1.4867109634551494
2012-01-31,0.09712839582687738,19.99,0.13,2.69,15.02770,2.53880,1.41580,0.66690,2.05870,0.80450,0.24,13.95950,95.12010,-0.41429880843263056,-0.4605734767025089
2011-01-31,0.10337360382949634,9.60,0.13,1.97,21.38540,4.82030,2.65940,1.36020,1.48960,0.94440,0.33,12.84800,97.09940,1.0,14.942857142857143
2010-01-31,0.10858413564804281,183.59,0.14,2.15,1.15710,0.24650,1.42410,0.09140,1.63540,0.96840,0.33,11.92460,84.27830,-0.5550570962479608,-0.9439551641313051
2009-01-31,-0.20958334997802897,,,2.09,23.58490,5.37470,3.22000,1.64020,1.52130,0.94850,0.31,11.93560,80.66530,,
