,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.04727076869692415,39.54,4.94,3.88,10.34710,5.37420,16.09220,12.42960,0.43300,0.79170,0.67,9.83320,7.31830,0.077247191011236,0.08389963408259282
2021-12-31,0.3338208423751068,46.77,5.82,3.83,8.70830,4.84770,16.18550,12.42490,0.31270,0.74460,0.62,10.12290,6.84440,0.5003010234798315,0.5297880847660936
2020-12-31,0.25288597365551446,54.50,5.01,2.71,5.28960,2.97180,12.19400,9.18030,0.32590,0.79510,0.67,8.89710,6.53780,0.13262870780770553,0.09452954048140039
2019-12-31,0.3905909343903997,48.78,3.96,2.12,4.40980,2.62320,10.39040,8.09480,0.27090,0.85130,0.71,9.80790,6.53120,-0.44101391271202595,-0.47842958228714905
2018-12-31,0.024649138730257425,45.47,3.04,1.41,7.51230,4.59170,35.36670,29.52950,0.26800,1.33310,1.21,5.46340,3.45260,1.1468903436988542,2.513231756214916
2017-12-31,0.3365897054763385,33.28,3.65,6.33,20.08910,6.40050,21.51790,10.97910,1.38230,0.99330,0.81,10.39410,6.64210,0.08767245215843356,-0.16866666666666663
2016-12-31,0.15976048756348704,19.74,2.92,5.63,28.26690,7.95570,21.33090,14.23960,1.74880,1.16220,0.94,10.64550,6.41930,-0.031882809133993995,-0.030381383322559796
2015-12-31,-0.2044505435598345,17.31,2.49,5.51,33.19420,8.68500,21.53860,14.35600,1.92590,1.38720,1.11,11.22410,6.73080,-0.1100460122699386,-0.08677685950413228
2014-12-31,0.00628320149830186,21.31,2.91,5.61,29.05160,8.83200,21.24990,13.80270,1.53490,1.14020,0.92,12.63520,6.83350,-0.006476190476190524,-0.03475783475783478
2013-12-31,0.21251967416238315,19.74,2.90,4.87,26.21730,9.06440,22.01260,14.71700,1.25820,1.09460,0.91,13.32810,6.30290,0.07714402954452204,0.037234042553191404
2012-12-31,0.04544032278886778,17.03,2.57,4.41,27.16090,9.64070,21.71240,15.07480,1.14660,1.12630,0.93,13.43700,6.12000,-0.012560777957860592,0.011961722488038173
2011-12-31,0.14242397351274794,16.77,2.50,4.71,29.70500,10.52830,21.93390,14.85960,1.13200,1.02840,0.85,14.16230,6.26850,0.18539865513928921,0.399163179916318
2010-12-31,0.21484784849989458,20.84,2.46,3.96,20.08140,8.07910,20.58130,11.81300,0.90430,1.12700,0.94,14.42110,6.07930,0.3219047619047619,-0.047049441786283897
2009-12-31,0.38375183582908035,16.38,2.29,3.57,22.96390,9.05920,17.58600,14.00180,0.89500,1.22610,1.02,13.34750,5.67190,,
