,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.34238089408447303,52.60,11.50,32.00,57.95420,12.61840,24.97180,21.87980,1.50700,1.05230,0.80,1.53830,3.33470,0.12115567753986012,0.11879893222494942
2021-12-31,0.6607570413667629,44.04,8.70,28.16,60.97020,11.43650,22.44870,19.71050,1.84440,1.22590,0.97,1.88180,3.48440,0.049372713974013216,-0.09881008121155366
2020-12-31,0.3105978273994967,23.94,6.05,26.73,106.32600,13.28180,24.68640,25.23940,2.84890,1.39900,1.08,1.37760,3.54160,0.21785995660495816,-0.2554217157145605
2019-12-31,0.15478214630672715,14.18,5.23,44.07,171.83130,11.80550,22.28680,37.26970,5.67490,1.16430,0.89,1.47970,4.02770,0.40735634460319714,1.5737623762376236
2018-12-31,0.4044736385131915,34.37,5.18,10.42,28.88050,7.17540,16.44470,15.03720,0.94400,1.72860,1.47,1.51120,3.72060,0.7643379601966953,-16.835374816266537
2017-12-31,0.17834329249155378,0.00,4.05,7.22,-0.74050,-0.19210,10.02960,-1.02180,1.16960,1.32100,1.01,0.99760,3.79570,-0.38571641902257425,-1.0745543541788427
2016-12-31,-0.10374174048294049,25.19,3.25,5.08,19.44250,7.05460,15.36700,12.89980,0.73190,1.37450,1.05,1.60310,4.45250,0.2126121067896185,0.13668825776449078
2015-12-31,0.25369336352792726,32.09,3.87,5.49,16.50690,6.77110,13.47480,12.06690,0.54680,1.52790,1.11,1.46180,4.90190,0.011128276137951643,0.00748797322735828
2014-12-31,0.3975338348771025,25.94,3.17,4.18,15.53470,6.58400,13.55960,12.18670,0.52130,1.22450,0.94,1.80020,5.16020,-0.5047294428720392,-0.4897327527322405
2013-12-31,0.07237846030286144,9.60,1.95,2.62,26.55680,13.29070,23.23530,20.26900,0.29550,1.46970,1.14,1.67580,5.74550,0.13438360559680484,0.14582008511470934
2012-12-31,0.24265965255688782,10.55,1.91,2.99,27.67450,11.88590,20.94460,18.08840,0.37440,1.55420,1.24,1.81420,5.81320,-0.14367350999366912,-0.0595947282471192
2011-12-31,0.2514736278037204,7.96,1.42,2.66,32.12050,12.91660,22.76370,17.90170,0.51620,1.59540,1.34,2.20360,5.73080,-0.1533948659144997,-0.14238090541473525
2010-12-31,0.03712726482583406,5.42,1.19,2.31,40.84090,16.35250,28.29870,21.96870,0.55800,2.14240,1.78,1.73420,5.54970,0.16875753941975535,0.1711097763814451
2009-12-31,-0.062470128262385516,6.06,1.20,2.89,45.44530,15.76350,25.58760,19.82410,0.69940,1.90110,1.47,1.49020,5.69860,,
