,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.4173280975854291,122.35,0.99,171.94,436.25450,2.48590,4.38890,0.89450,62.93910,0.98270,0.00,,11.38350,-2.752072472397348,-1.2224863011145488
2021-12-31,0.6288786064235166,0.00,4.20,-142.69,323.04220,-4.22700,-6.66610,-10.69920,-30.40920,0.97500,0.00,,5.87720,-0.7472414577375163,-0.6108317787107126
2020-12-31,0.02812368826080891,0.00,8.35,-119.77,1366.55200,-17.26070,-88.82500,-92.59490,-36.69860,0.96130,0.00,,3.82380,-6.089190558662348,352.00184350675954
2019-12-31,0.4511675126903554,0.00,1.33,10.43,8.07480,1.07700,2.81300,-0.04230,2.26040,1.02080,0.00,,11.61060,0.19193337227631524,-0.7234151039601155
2018-12-31,0.1569180173831337,0.00,0.97,7.71,6.72800,1.06320,2.52630,-0.16360,2.09650,1.02620,0.00,,13.00800,1.9818997445197568,-0.8192347868832313
2017-12-31,0.600375939849624,0.00,0.94,6.25,0.54820,0.10360,0.94350,-1.00800,1.62180,0.88140,0.00,,13.35610,-0.5311554997206831,1.0771325249946822
2016-12-31,0.0826210826210827,0.00,0.71,4.02,1.50400,0.30010,2.49080,-0.60070,1.71400,1.08670,0.00,,13.75610,0.4838815999805133,-0.28433327751305437
2015-12-31,-0.05898123324396776,0.00,0.70,3.44,-1.08980,-0.25610,1.81310,-0.90660,1.41340,1.08900,0.00,,16.00910,17.33748830976675,-0.31907284356308374
2014-12-31,0.32135627530364363,0.00,0.79,3.54,-7.03910,-1.75010,0.10430,-1.40480,1.37710,1.12780,0.00,,16.37720,-0.948703169203428,1.1950758868637221
2013-12-31,1.1224489795918369,0.00,0.60,2.48,-2.26540,-0.63370,2.15570,-0.67830,1.13780,0.95770,0.00,,14.75240,-7.454163142887511,-0.7307614549063575
2012-12-31,0.12033694344163659,0.00,0.30,1.18,-10.73180,-3.06000,-0.37190,-2.80500,1.15340,1.02520,0.00,,13.99520,-2.1800309749473756,0.9662113327551314
2011-12-31,-0.27232924693520133,0.00,0.28,0.97,-4.35420,-1.38660,0.34060,-1.54190,1.05470,1.05640,0.00,,13.82830,-1.2878703677539474,-0.636516484959937
2010-12-31,0.3419506462984725,0.00,0.37,1.33,-13.57210,-3.92270,-1.25800,-4.51030,1.15330,1.08770,0.00,,15.34720,0.21666268753640905,2.7951777198025884
2009-12-31,0.4825783972125435,0.00,0.18,1.02,-17.37030,-5.38100,-1.25220,-1.43930,1.02020,0.95430,0.00,,23.73170,,
