,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2023-03-31,0.2124611909865355,14.14,0.18,-32.40,-250.00000,5.97720,1.58320,1.28650,-8.20070,0.92360,0.51,13.42510,14.25610,1.149656526005888,2.1956912028725313
2022-03-31,0.518225774716367,36.61,0.18,-24.56,-72.09820,2.04110,0.77210,0.42200,-7.30970,0.95390,0.57,13.41230,14.20470,-1.4043650793650793,-1.2454285084820444
2021-03-31,0.445386150342328,0.00,0.13,172.73,-2479.42800,-6.67380,-2.11560,-1.90530,86.94290,1.02900,0.59,11.74690,12.42000,-3.0249096022498994,-6.043333333333333
2020-03-31,0.27073950182187456,22.04,0.10,4.01,21.20930,1.83850,1.07730,0.38950,1.39140,0.99060,0.60,13.08880,11.58150,1.809255079006772,25.470588235294116
2019-03-31,0.2672735186692152,1872.17,0.10,2.58,3.06500,0.42570,0.41340,0.01590,0.91650,1.02230,0.58,12.12310,11.74610,0.162729658792651,-0.4925373134328358
2018-03-31,-0.28392548846361276,607.35,0.13,2.68,2.90350,0.48360,0.36570,0.03220,0.78350,1.01230,0.57,12.08910,11.76430,-0.8930075821398483,-0.986785009861933
2017-03-31,0.11944271041527443,5.97,0.16,2.61,46.81100,8.65520,3.58730,2.55370,0.75800,1.03750,0.61,12.25700,10.89940,1.0090267983074752,1.245349867139061
2016-03-31,-0.2830404872610599,15.16,0.18,3.67,25.99910,4.14340,1.85710,1.18290,0.90080,1.09600,0.66,11.70320,10.61650,0.19440700808625344,0.5298102981029811
2015-03-31,-0.045163950259317076,33.51,0.28,6.03,22.78290,3.41930,1.65770,0.82440,1.21760,1.09470,0.67,11.72590,11.25080,0.21689216892168917,0.1686460807600949
2014-03-31,0.2926199975299759,30.06,0.28,3.65,13.70420,2.73190,1.77520,0.91930,1.02670,1.10880,0.67,9.93690,9.97040,0.039198977417980396,-0.056053811659192876
2013-03-31,0.6764702241836589,17.73,0.19,3.18,19.27860,3.91820,1.92070,1.09500,0.68930,1.08490,0.60,11.15770,12.25020,0.10499058380414317,-0.04632929436920885
2012-03-31,0.25591751306876875,14.27,0.16,2.75,20.18740,4.16700,1.73640,1.14700,0.58260,1.08840,0.62,11.50790,12.26030,0.1663920922570017,0.1672212978369385
2011-03-31,0.11781032690600401,15.59,0.17,2.49,15.65100,3.65860,1.62470,1.07240,0.55460,1.19390,0.70,11.50290,12.20030,-0.09312749003984067,-0.0482977038796516
2010-03-31,0.13796903341320954,12.69,0.15,2.11,16.76850,4.48050,1.84730,1.16190,0.30480,1.26400,0.71,10.91260,13.46160,0.6789297658862876,0.534629404617254
2009-03-31,0.6297098158700398,,,1.36,13.28920,3.25720,1.12160,0.77180,0.40510,1.19640,0.65,11.87450,13.71650,,
