,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.6422179277538278,14.03,2.80,2.50,18.45470,12.49150,24.82140,19.89560,0.07890,2.20340,0.00,,8.65950,-0.3809167326160888,-0.4107188214376428
2021-12-31,0.23132962366378673,24.37,8.18,7.38,31.52650,23.71870,39.64500,33.38450,,3.15430,0.00,,8.40010,0.4310244559395182,0.3507856995814176
2020-12-31,0.33086479902557864,27.05,9.16,6.07,22.71880,18.29450,38.00500,33.90450,,5.05110,0.00,,7.58400,0.3620862169598933,0.5767378955910198
2019-12-31,0.565718208864139,31.87,8.34,5.79,18.29220,13.85930,33.92790,26.14680,,4.39950,0.00,,7.42770,-0.03720948902179588,-0.163990773822984
2018-12-31,-0.25711209339227026,17.32,6.87,4.45,26.28410,22.71770,44.61660,39.59850,,7.19400,0.00,,7.35970,0.2331336930158887,0.3888819095477387
2017-12-31,0.533767926988266,32.74,12.82,6.90,21.43190,18.85150,49.69620,39.16070,,12.91570,0.00,,6.97070,0.6257342882433412,0.5626226933647429
2016-12-31,0.09927383909803167,35.29,12.16,5.62,17.26020,15.72790,44.96350,36.86230,,11.96560,0.00,,6.92160,0.9963052208835341,1.776778413736713
2015-12-31,0.34145091002307093,81.77,16.65,6.71,8.34050,7.46450,34.72220,20.46520,0.00260,11.24780,0.00,,7.00590,0.2464957949539448,0.25435897435897425
2014-12-31,0.4276564987465461,70.93,16.50,6.00,8.14490,7.35630,40.06100,23.46380,0.00650,9.40310,0.00,,7.42910,0.7810271041369472,0.9617706237424548
2013-12-31,,92.63,17.45,8.96,9.69620,8.38220,35.61990,18.94060,0.03080,11.88180,0.00,,7.09830,4.211895910780669,45.59375
2012-12-31,,,,5.34,0.45090,0.35090,10.57180,0.62880,0.20040,10.71010,0.00,,4.34960,-0.6936218678815489,-0.9520958083832335
2011-12-31,,,,,23.34270,15.79530,47.31880,18.00050,0.13820,5.12120,0.00,,6.78430,0.7015503875968991,0.7956989247311828
2010-12-31,,,,,39.17260,20.26760,52.27960,18.84500,0.21880,5.77380,0.00,,5.29220,2.9389312977099236,2.0491803278688523
2009-12-31,,,,,,,33.71940,15.70140,,,0.00,,,,
