,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.43890657591393134,340.73,0.56,0.81,0.32160,0.18260,2.08070,0.21510,0.35160,1.92010,1.01,3.14760,6.16190,-0.8170669626939683,-0.9755632966464988
2021-12-31,0.2925150762681803,12.22,1.13,1.42,12.26300,7.26600,11.91910,9.22410,0.27580,1.77790,0.97,3.31650,6.08730,1.0990688708526073,1.0038188888565638
2020-12-31,0.03350931221586739,19.52,1.05,1.16,6.03810,3.59950,6.65820,5.39770,0.32010,2.26200,1.46,3.72270,5.58770,-0.2311607164012246,-0.30719244945317925
2019-12-31,0.16603967168262646,13.25,0.99,1.20,9.16230,5.56200,8.29660,7.46400,0.31620,1.63290,0.79,3.19610,6.53120,-0.24476950241298023,-0.1324311154425445
2018-12-31,-0.5760782892352301,10.20,0.88,1.14,11.62430,6.60240,10.97120,8.59220,0.43790,1.38060,0.68,3.12360,6.21580,-0.19114765986325233,-0.11714856767643922
2017-12-31,0.381710737179487,21.26,2.17,2.91,13.79210,8.05870,14.26750,10.23720,0.39110,1.53390,0.80,3.33300,6.09130,0.057994770079605074,0.04450361681245352
2016-12-31,0.05433233011246652,16.01,1.66,2.56,16.14190,9.12520,14.28650,10.38320,0.43430,1.27710,0.66,3.66780,6.51030,0.5281699028100355,0.5118413396998547
2015-12-31,0.21903964984551982,22.85,1.74,2.88,12.69290,6.21060,10.37680,7.62310,0.65670,0.99720,0.50,3.52210,6.41870,0.08381255645895647,0.1566588027407818
2014-12-31,0.043384822028206926,21.43,1.46,2.56,12.03430,6.42390,9.90330,6.81710,0.50950,1.53100,0.74,3.66050,7.21230,0.41296729826347445,0.5251902312592822
2013-12-31,0.6458494528573009,31.02,1.46,2.42,8.21390,4.32280,7.44250,4.74620,0.50560,2.33620,1.15,3.45220,6.91400,0.4411574134215246,0.39370569572201486
2012-12-31,0.5116123642439432,25.13,1.08,1.68,6.74510,3.98010,6.55680,4.32380,0.37180,3.07740,1.71,3.79090,8.51830,0.20271881397722025,0.4389093961660975
2011-12-31,0.05443974630021153,23.75,0.73,1.21,5.21770,2.87170,5.59250,3.08250,0.46440,2.17750,1.17,3.79420,8.22290,0.004370579010207543,-0.04557502455728302
2010-12-31,0.19243697478991595,21.10,0.73,1.19,5.80560,3.11420,5.90650,3.42590,0.50540,2.14380,1.18,3.88730,8.65630,6.184287674365425,-34.13820694671759
2009-12-31,0.10774959273912033,0.00,0.61,1.02,-0.03180,-0.01590,0.81830,-0.10290,0.57940,2.66850,1.66,4.60460,7.92960,,
