,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.2959856913790314,11.32,1.92,4.27,39.20790,12.46580,19.10370,16.87750,1.07910,1.54240,0.98,3.58000,7.55270,-0.11263400732799567,-0.024320216179699372
2021-12-31,0.04873596083432763,16.12,2.71,6.17,39.22080,12.59560,20.84290,16.74730,1.14860,1.70480,1.15,3.77030,7.58690,0.02904622259460976,0.08662139842172878
2020-12-31,0.027868408359597474,16.82,2.81,6.95,42.17000,11.51780,22.25020,16.93080,1.45350,1.88500,1.35,3.91720,6.84040,0.15986394557823136,0.20633163604162053
2019-12-31,-0.042593569593155745,19.38,2.76,8.60,44.72650,10.14130,19.21210,14.05590,2.00600,1.40650,0.96,4.14510,6.70760,-0.1433328708200361,-0.1555430921667601
2018-12-31,-0.16910447572913523,18.03,2.94,9.26,54.45780,14.69320,21.99600,16.32540,1.48480,1.89250,1.29,3.82090,6.52690,-0.06305252210088408,0.1010703993412927
2017-12-31,0.349154672190378,24.02,3.68,9.74,41.89470,12.81750,24.29790,15.34570,1.20020,1.85730,1.33,3.97990,6.44610,0.09463497936530518,-0.038019801980198054
2016-12-31,0.21720759967648462,19.89,2.81,8.14,48.90260,15.37110,23.33850,16.77240,1.12640,1.88550,1.34,4.46620,6.85540,0.011661387849121851,0.04489964825160353
2015-12-31,-0.05908824740493002,15.28,2.45,6.16,42.21310,14.72190,22.94380,15.96420,0.94150,1.54340,1.05,4.37270,7.28790,-0.026489138051857042,-0.024818401937045986
2014-12-31,0.19991014880021374,16.44,2.57,5.95,38.03070,16.01460,22.42230,15.57460,0.51830,2.06290,1.44,4.43790,7.50850,0.07035703570357033,0.06374758531873792
2013-12-31,0.5446509884558473,15.27,2.32,3.79,26.30380,14.07150,21.59310,15.09180,0.33480,1.69820,1.18,4.16820,7.25860,0.028227672373901003,0.0483798379837983
2012-12-31,0.16667954549445918,10.53,1.56,2.53,25.00550,13.31620,21.67940,14.86090,0.33260,2.19840,1.58,4.08780,7.36370,0.049368727743606344,0.03759047396684556
2011-12-31,-0.02840508687721499,9.55,1.39,2.49,27.46820,13.78100,20.86390,14.46420,0.32570,2.24960,1.62,4.59400,7.65740,0.043933761405880345,0.048470012239901994
2010-12-31,0.07072687244790776,10.41,1.59,2.61,25.99110,13.80490,22.19640,15.32140,0.34040,2.00610,1.49,4.38380,7.37540,0.22933111757374336,0.27936110241152523
2009-12-31,0.4852356969966676,12.14,1.67,2.92,24.38730,11.90460,20.81910,13.80880,0.42930,2.20440,1.67,4.58850,7.11480,,
