,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.27773964622043434,38.88,9.46,9.92,26.22990,21.25770,29.36130,24.39440,,5.35540,3.66,1.66690,9.81940,1.007434350670879,0.8083901116836005
2021-12-31,0.3548796833505681,96.17,19.26,18.09,19.45550,15.26170,21.72690,20.03840,,4.95650,3.81,2.01350,11.52340,0.6516471343512793,0.4723832699619772
2020-12-31,1.074564276381683,102.91,19.94,16.82,17.00570,13.60170,18.81480,19.46530,,5.72910,4.66,2.40990,12.63340,0.5491312571907725,0.5102582713916886
2019-12-31,0.5479387139806944,73.05,12.57,9.76,14.07110,11.38040,16.33360,17.33320,,6.67050,5.37,2.20860,11.91410,-0.09627449598195403,0.03392293954478087
2018-12-31,0.04486335091544702,47.39,8.55,7.43,16.44570,13.26740,19.48690,18.07540,,7.22050,5.53,1.90430,10.54770,0.46579871874354195,0.6144655920739843
2017-12-31,0.38219988585035036,71.84,9.87,8.53,12.49080,9.99170,16.44070,13.84560,,6.81420,5.31,2.14190,12.38080,0.4220067221334509,0.23677921092564502
2016-12-31,0.30040434978271247,61.95,8.33,7.33,12.22870,10.31450,14.00870,13.56440,,7.23690,5.89,2.48770,11.34860,0.32571219868517165,0.49891959513249184
2015-12-31,0.29983935462466604,69.25,7.28,6.41,9.54420,8.15520,12.33090,10.56000,,7.66880,6.21,2.41890,10.80330,0.16345609065155808,-0.009099873221580568
2014-12-31,0.4494261164471103,51.48,6.43,5.14,10.24610,8.88780,12.49400,12.56310,,8.35330,7.24,3.17510,11.02360,0.47606104955049133,0.5501353830028823
2013-12-31,0.5556550797533333,53.57,5.10,3.74,7.08040,6.20700,10.04450,9.61730,,7.58880,6.56,2.77300,10.03330,0.38405000289368596,0.45328763645595327
2012-12-31,0.5471989766003944,47.25,3.43,2.81,6.10000,5.48680,8.08140,7.36910,,9.13470,7.77,3.13450,11.03100,0.2878437802787508,0.1845725885271785
2011-12-31,-0.08777255266978323,30.54,2.34,1.83,5.47640,4.85670,6.82730,6.76830,,8.11300,7.34,4.72170,13.01710,-0.5600695127549348,-0.5500794912559619
2010-12-31,-0.31080589412406767,18.22,2.49,2.04,11.97390,10.49810,13.93620,13.50900,,7.74500,6.86,3.77610,11.92780,0.5615975422427035,0.5026430822405206
2009-12-31,0.9008645008645007,34.81,4.24,3.45,9.23850,8.13580,11.83580,11.92310,,8.50680,7.69,3.43240,10.63130,,
