,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.6691901540305065,5.15,2.48,1.49,31.69260,18.11430,52.40050,47.90450,0.51970,0.72460,0.67,5.52000,6.57940,2.020642201834862,2.8181818181818183
2021-12-31,1.4975138336840468,13.24,2.26,1.11,8.85270,5.56670,23.35300,16.88980,0.37560,1.11240,1.07,6.93510,4.90460,-2.1084745762711865,-1.6519641626464507
2020-12-31,-0.503763062428935,0.00,1.55,0.48,-13.73920,-8.08090,-38.10140,-46.85180,0.51170,1.32890,1.27,7.30260,4.14590,-2.8553459119496853,-4.022916666666667
2019-12-31,-0.03919528526943972,21.91,2.07,0.85,3.94960,2.37100,12.56170,9.48050,0.45260,1.22350,1.18,9.88890,4.51250,-0.6184763047390522,-0.5620437956204379
2018-12-31,-0.14355455696927644,10.35,1.94,0.91,9.03690,5.14050,28.24470,18.57000,0.45340,1.59440,1.54,8.77080,5.46990,-15.62280701754386,-1.1915079503756771
2017-12-31,-0.007968529989329065,0.00,3.03,1.14,-7.08920,-3.77070,-2.58560,-129.80270,0.46930,1.30390,1.24,7.01590,4.07490,-0.8438356164383561,1.674299065420561
2016-12-31,0.3988199860447452,0.00,3.58,0.76,-11.89780,-6.71190,-22.55870,-66.13100,0.41430,1.63620,1.58,7.09560,4.32620,-0.6609382257315374,-0.029038112522686066
2015-12-31,-0.5416568833040507,0.00,1.65,0.41,-9.16830,-5.26450,-46.45090,-47.55120,0.39220,1.49800,1.32,4.72520,5.08220,-2.3464665415884927,-1.7235718975705843
2014-12-31,-0.17995518300273883,5.54,1.56,0.79,4.60990,2.69290,14.74280,28.08410,0.30270,1.04890,0.97,12.18770,6.27300,-0.40134780980906026,0.737592698231603
2013-12-31,0.17540210868055284,12.15,1.89,1.09,4.81290,2.61370,23.58500,15.47900,0.34100,0.68660,0.60,11.62640,5.30690,-0.19693325315694532,0.10809102402022752
2012-12-31,0.07232999146400654,11.49,1.52,0.99,4.68190,2.42450,27.79540,13.22080,0.37720,0.74040,0.67,13.33240,4.94870,-0.31138716356107665,-0.4630006788866259
2011-12-31,0.31416788100409665,5.79,1.16,0.98,10.01220,5.47640,32.92660,20.08320,0.28060,0.73370,0.65,16.20220,7.51490,0.14346590909090917,0.1471962616822431
2010-12-31,0.22378869448183059,5.04,0.52,0.54,7.91720,3.76290,36.13350,21.96750,0.33220,1.24440,0.93,1.43590,1.93860,0.4641247833622184,0.7552973342447027
2009-12-31,0.17787870861373345,7.21,0.20,0.48,3.26790,1.52170,33.84560,17.16330,0.38940,1.17450,0.78,0.91550,1.79950,,
