,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2023-06-30,0.3714474276386939,35.07,11.98,12.25,35.08870,17.56440,41.77290,34.14620,0.22910,1.76920,1.75,26.34520,4.35250,0.06164326061667236,-0.005182985509637361
2022-06-30,-0.2801654878128018,26.33,9.66,11.38,43.67550,19.93700,42.05530,36.68630,0.29890,1.78460,1.75,16.74240,4.47960,0.19261685451112753,0.1871521600757291
2021-06-30,0.5247613215315421,34.53,11.98,14.06,43.15220,18.35680,41.59490,36.45170,0.40950,2.08000,2.05,19.81490,4.41840,0.3201910912215109,0.38368600528443353
2020-06-30,0.425345010127653,34.36,10.62,12.64,37.42980,14.69610,37.03040,30.96250,0.53530,2.51580,2.49,24.31560,4.46770,0.23278009264647692,0.12846585117227316
2019-06-30,0.5703157310659857,22.42,7.43,9.63,38.34650,13.69370,34.13700,31.18170,0.70530,2.52880,2.50,20.79980,4.26240,0.22536938787152727,1.3679922756623015
2018-06-30,0.20799180710823073,44.25,6.58,8.66,20.03310,6.40180,31.76690,15.01540,0.92170,2.90080,2.86,14.40760,4.16750,0.20785529715762263,-0.34987641727804153
2017-06-30,0.4071676142489731,23.71,5.19,5.63,29.06020,10.18290,30.05560,26.39410,0.98270,2.91860,2.88,15.70890,4.30520,0.11300713244880733,0.24100491747407382
2016-06-30,0.1506684338253539,22.62,4.09,5.03,28.52760,10.61620,28.60870,22.53220,0.74250,2.35290,2.32,14.56240,4.98740,0.435934144595562,0.6844911014516526
2015-06-30,0.22695883331353217,26.66,3.45,3.90,15.22550,6.98850,19.40690,13.02950,0.44070,2.47340,2.42,11.38460,5.22560,-0.3457617349328146,-0.4476306967473045
2014-06-30,0.2754439410919767,13.62,3.46,3.29,24.58570,12.80510,31.96830,25.42120,0.25220,2.50400,2.45,10.17970,4.44290,0.03717680466298012,0.009651008553263507
2013-06-30,0.442844649315393,11.09,3.13,3.04,27.69430,15.34990,34.37940,28.08390,0.19760,2.71180,2.66,10.51860,4.45210,0.22979368653218768,0.2877252915537756
2012-06-30,0.058370373227147,12.38,2.85,3.13,25.58350,14.00010,29.52000,23.02950,0.18000,2.60290,2.57,15.41780,4.67190,-0.19874084164795114,-0.266609071274298
2011-06-30,-0.04520933829215301,7.62,2.52,3.01,40.55500,21.29640,38.83310,33.09840,0.20880,2.60370,2.56,11.35350,4.66690,0.12710598389907868,0.23400852878464828
2010-06-30,-0.06531634242249551,8.43,2.53,3.32,40.62800,21.78530,38.56670,30.02370,0.12860,2.12930,2.10,16.75000,4.80130,0.18342091047488096,0.28766559132404423
2009-06-30,0.6049577075781116,,,4.04,36.82950,18.70510,34.84610,24.93110,0.14530,1.82290,1.80,16.95260,5.22130,,
