,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.10400426533313711,13.49,2.66,1.37,12.08790,0.94720,26.25210,19.63930,4.73040,0.79400,0.00,,0.68330,-0.2836587350010169,-0.27639708911162986
2021-12-31,0.4660753725580973,11.52,2.82,1.54,15.29620,1.27260,32.91440,24.37620,4.46520,0.77980,0.00,,0.62230,0.36412817311693724,0.38723809523809516
2020-12-31,0.3805650469413173,9.79,2.04,1.11,11.90530,1.00180,29.57110,21.53540,4.35190,0.73230,0.00,,0.49890,0.2758162994425273,0.23355263157894735
2019-12-31,0.3265550864436997,8.80,1.81,0.88,12.45270,1.03160,27.20640,20.49210,4.87790,0.74700,0.00,,0.74650,0.005695470321260165,0.03527122354658241
2018-12-31,-0.22766610675415955,7.30,1.50,0.72,12.19300,1.04120,28.01760,20.50020,4.76060,0.80850,0.00,,0.75250,0.08016918196674028,0.4713672154617037
2017-12-31,0.2662123212789822,14.43,2.15,1.02,8.91400,0.73200,27.41600,14.72660,5.16360,0.77320,0.00,,0.67530,0.17574593128390603,0.014524328249818419
2016-12-31,0.3605858762257268,12.06,1.93,0.85,8.78880,0.75120,25.54940,15.90480,4.86540,0.77830,0.00,,0.74540,0.0415538552089465,-0.028742726150590703
2015-12-31,-0.16752650267599833,8.93,1.44,0.65,9.16780,0.79940,24.16440,16.13140,4.59300,0.74500,0.00,,0.77420,1.365636313004734,0.7991751269035532
2014-12-31,0.2508780752750901,10.40,1.79,0.84,5.57020,0.45930,10.47700,9.19620,5.48310,0.77080,0.00,,0.70000,-0.21215445370776653,0.1871939736346515
2013-12-31,0.6533188769231792,17.50,1.49,0.70,5.55540,0.43910,14.02760,8.17100,6.91720,0.76610,0.00,,0.56900,6.647651006711409,-89.5
2012-12-31,0.27918077701955313,0.00,1.09,0.45,1.18430,0.09690,2.27670,-0.11460,7.41740,0.81530,0.00,,0.40720,-0.902454991816694,-1.0145137880986939
2011-12-31,-0.43925224726606493,10.49,0.59,0.32,6.84850,0.62620,18.95930,6.41390,6.77240,0.82670,0.00,,0.66220,-0.014198128428525303,-0.42487479131886474
2010-12-31,-0.0739798172596009,8.66,1.04,0.48,9.77420,0.67540,19.84630,11.50820,8.14560,0.79120,0.00,,0.57670,4.4849557522123895,-4.962513781697905
2009-12-31,0.8793031868077119,0.00,1.15,0.58,3.30450,0.18500,4.85400,-3.89600,9.67300,0.82200,0.00,,0.52340,,
