,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-10-31,-0.05914983341729674,25.22,5.01,5.54,22.36350,13.43070,27.11520,19.80880,0.32860,1.35810,0.90,3.03530,4.82080,0.14181315403160655,0.12926746601873362
2021-10-31,0.28092592545246764,32.16,6.19,6.71,21.04400,11.98560,26.04030,19.23490,0.38750,2.61530,1.88,3.17280,4.82690,0.7597934457652089,0.8208296098004721
2020-10-31,0.24460958640826624,41.02,4.98,6.20,14.18650,6.79080,16.47940,11.76460,0.63810,2.81090,2.05,3.57590,4.49510,-0.27647362004334386,-0.25972808529447544
2019-10-31,0.3787370401308445,26.07,4.00,5.50,21.32080,9.58610,22.01750,15.36260,0.79630,2.11710,1.52,3.53610,4.13410,-0.03873202794625874,-0.10674792977807224
2018-10-31,-0.1764524802779478,24.03,3.05,4.67,26.01260,11.03110,22.29060,16.73750,0.91500,2.52400,1.77,3.85040,4.58800,0.07756615056671068,0.27576892651165297
2017-10-31,0.31840856215738333,20.60,3.18,5.97,25.59960,8.66300,22.56440,14.31080,1.38250,1.37150,0.96,3.51040,4.09230,0.20073294870903724,0.08813543111281152
2016-10-31,0.7675025595430545,19.82,2.97,6.30,31.92130,11.23050,21.47220,15.02730,1.17090,2.24880,1.58,3.70070,4.22110,0.22251912000755336,0.2876780461463402
2015-10-31,-0.16633185510871906,18.05,2.31,5.71,31.98570,8.94370,18.81540,12.50160,1.71390,2.44720,1.67,3.43290,4.33490,-0.13449830429985976,-0.1445133786921584
2014-10-31,0.060446275849030284,18.16,2.64,4.81,27.27390,10.82280,21.54350,14.48180,0.90180,1.81380,1.25,3.59900,4.65780,0.13356842232027888,0.11250715680042545
2013-10-31,0.18835767294985528,19.01,2.74,4.70,24.98330,10.80360,20.98930,14.37640,0.75260,2.54250,1.71,3.41120,4.99800,-0.0346697269583881,-0.013396848271352901
2012-10-31,0.5474798853485399,15.29,2.44,5.06,33.56810,12.28900,23.80000,15.95010,0.96990,1.70690,1.21,3.45720,4.34300,0.06318281084263933,0.011085427497256717
2011-10-31,-0.09453245649043052,12.64,2.29,4.71,38.92090,17.04660,25.58820,18.03210,0.57500,2.61830,1.84,3.41570,4.84900,0.3436914743668904,0.3232171760449396
2010-10-31,0.5186663102932929,0.00,2.21,4.59,33.27210,17.03730,22.54650,16.13440,0.23660,2.35020,1.74,3.56720,4.27230,-2.837403272121245,-2.0499390834400675
2009-10-31,0.9308948703597362,0.00,1.87,4.16,-43.26090,-17.97010,-15.60210,-19.53880,0.44560,2.21630,1.59,3.58720,4.28430,,
