,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,0.17401713675678732,4.54,0.83,1.69,41.28600,24.87630,25.06320,18.25030,0.34190,3.39320,2.13,5.31930,11.56010,0.1239873893807939,0.11493712427245906
2021-12-31,1.1844681557506687,5.15,0.95,2.07,48.77070,27.58140,25.37180,18.62510,0.38930,2.48180,1.32,4.23520,9.46660,8.263409920947252,8.475690057647737
2020-12-31,-0.018466202183316183,21.57,0.77,1.37,7.44340,4.15410,4.96170,3.56070,0.47550,3.61080,2.25,5.01860,8.76080,-0.47432322243966085,-0.43271144554104546
2019-12-31,0.1187412222320503,9.24,0.67,1.45,12.70400,7.47310,8.41530,5.59620,0.40620,3.33890,1.78,5.18200,10.45730,-0.42824074213324204,-0.46240723170607756
2018-12-31,-0.1635632322875069,6.24,0.59,1.39,24.31970,13.84490,13.26310,9.38040,0.42060,3.07750,1.46,4.56170,10.00460,0.7666880106276985,0.7893259388846994
2017-12-31,0.09573014601931762,13.39,0.88,1.94,15.19650,8.71500,9.29210,6.48880,0.41770,2.41590,1.19,5.10820,9.98370,0.3167828899216736,0.655839745778622
2016-12-31,0.5211225668294794,22.09,1.00,1.95,10.90790,5.91460,8.81750,4.89660,0.52780,2.72240,1.69,5.71870,9.93340,2.485149026720973,9.019429364979171
2015-12-31,-0.14892004935161995,29.69,0.65,1.35,2.45900,1.34730,2.49440,0.48180,0.55900,4.22650,2.61,6.82500,11.87960,-0.6852992120727008,-0.8830012880050102
2014-12-31,-0.054120996854866266,16.28,0.60,1.54,9.64150,4.98570,6.17400,3.20780,0.56770,3.07080,1.76,7.01480,10.20410,0.40304722399317683,0.39273327216697584
2013-12-31,0.27518686957568805,27.17,0.69,1.66,7.40210,3.85130,4.87470,2.55150,0.55740,3.27010,1.94,6.77060,10.52030,-0.09713641034415377,-0.033405845227537534
2012-12-31,0.13122913144916803,21.88,0.53,1.30,7.52180,4.19110,5.29430,2.58840,0.46420,2.78940,1.65,7.71020,11.38000,-0.27963883864199646,-0.35153668112980063
2011-12-31,-0.06265120984243078,11.73,0.45,1.18,11.17210,5.90920,7.13130,3.87310,0.55560,2.79960,1.97,9.12920,11.70440,2.1571535961440667,4.863316423349386
2010-12-31,-0.027885365116242067,72.73,0.61,1.32,2.81450,1.48200,2.85450,0.83480,0.58570,3.89590,2.86,9.66940,11.00450,-3.297221179598112,-1.4475214762534723
2009-12-31,0.042013490479064775,0.00,0.88,1.30,-3.12720,-1.88660,-1.75940,-2.64120,0.40720,4.22330,3.15,8.40570,10.02680,,
