,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,1.1909408619128823,5.04,1.71,1.87,65.46280,18.32280,37.66990,33.90570,0.65930,1.14550,0.88,5.85870,8.55730,2.8515210717276025,7.21494708994709
2021-12-31,0.6771456146132482,18.27,1.04,1.31,26.40800,3.71820,13.80410,5.82520,1.45700,1.22670,1.01,5.23240,6.16830,-1.2344588404659076,-1.0964593301435406
2020-12-31,-0.5525184137693124,0.00,0.87,0.85,-153.59210,-16.90270,-85.81060,-88.01730,1.94830,1.07250,0.84,4.46150,8.42030,-127.29752066115702,14.913705583756345
2019-12-31,-0.282165621951865,0.00,1.39,0.99,-2.07190,-0.47300,0.57860,-4.71040,1.12720,1.15180,1.03,5.30490,4.94000,-0.9784236804564908,-1.2384410554345195
2018-12-31,-0.13018343012358025,9.81,2.27,1.86,19.36710,9.41990,31.46320,23.17660,0.48370,1.34000,1.17,5.21270,3.64280,3.2228915662650603,2.1655172413793102
2017-12-31,0.08556149732620333,25.34,3.42,2.26,6.37270,3.11950,10.61720,10.43330,0.47770,1.11760,0.95,4.48960,3.01760,-1.7197831978319784,-3.273519163763066
2016-12-31,0.09914109370279256,0.00,4.24,1.99,-4.66110,-2.32430,-18.28540,-5.68880,0.45680,1.32470,1.19,5.99190,2.52950,-0.8094795539033457,-0.9266828458296079
2015-12-31,-0.12611182356208717,0.00,3.13,1.60,-33.45380,-18.76570,-77.59620,-62.73240,0.34110,1.37420,1.23,5.88640,4.20200,-8.911764705882353,-13.709415584415584
2014-12-31,-0.09118020551733819,82.15,2.37,1.29,-0.37190,-0.23110,6.33800,3.18970,0.19560,1.68280,1.56,6.46670,4.59150,-0.8420848922719649,-0.8954159592529711
2013-12-31,0.2775294005239146,8.77,2.56,1.18,11.37140,7.10220,38.42840,29.20180,0.16000,1.34250,1.20,5.41420,3.55480,-0.010721123165283952,0.28099173553719003
2012-12-31,-0.16138972678544294,8.86,2.03,1.01,9.56100,5.96320,38.98010,22.87560,0.19030,1.30210,1.12,4.85860,4.08870,-0.25088440577493065,-0.31982248520710055
2011-12-31,-0.026317970889645714,7.20,2.03,1.29,17.65020,11.05860,43.69020,28.23840,0.15610,1.45240,1.32,6.90830,4.43730,0.3700550170290804,0.49425287356321834
2010-12-31,0.2276271734315578,11.05,2.63,1.54,14.28700,8.85150,40.08400,23.75430,0.15730,1.66890,1.54,5.87130,3.78480,0.5152838427947599,0.5519725557461406
2009-12-31,0.38317174075638016,14.00,2.75,1.40,10.98120,7.23960,34.00840,19.67730,0.09590,1.63410,1.48,5.11520,3.62020,,
