,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
2022-12-31,-0.0735406576599541,43.00,11.08,1.40,3.02470,1.75630,24.04210,26.00150,0.62790,,0.00,,,1.4747196165013756,1.418677112080477
2021-12-31,0.20150729858476568,70.11,12.37,1.55,1.43560,0.83630,15.61390,17.27770,0.61450,,0.00,,,-0.0030790798421700405,-0.09110309846619091
2020-12-31,-0.1155749969365314,47.70,11.43,1.80,3.59880,1.91180,19.78310,24.01120,0.80030,,0.00,,,-0.20127812521371735,-0.0939236898657907
2019-12-31,0.21252619725358946,44.62,13.04,2.11,4.46220,2.35780,27.41350,29.33030,0.80590,,0.00,,,0.18147352264006145,0.20039932455846055
2018-12-31,0.15525722622989324,40.60,11.08,1.91,4.48960,2.38920,26.00430,27.38390,0.80040,,0.00,,,0.21384428258057264,0.2059605855781157
2017-12-31,0.03681865122389305,39.89,9.90,1.70,4.32050,2.27140,23.39790,24.80030,0.82690,,0.00,,,-0.04465341214400853,0.04514178951856396
2016-12-31,0.15781125875396174,38.13,9.86,1.64,4.95140,2.40610,26.99130,26.15100,0.86040,,0.00,,,0.120321287195581,0.1239062512174407
2015-12-31,0.13384507553167269,33.84,8.40,1.41,4.62580,2.40480,25.97330,25.08450,0.73570,,0.00,,,0.13875516289910705,0.12800253122280902
2014-12-31,0.3434295460834158,31.28,7.58,1.30,5.13070,2.44390,25.00210,24.37670,0.87410,,0.00,,,0.2756458956182397,0.11748529223999915
2013-12-31,-0.023148764498235108,22.84,5.87,0.93,3.75340,1.81990,23.45050,26.09990,0.76860,,0.00,,,0.27985534010464774,0.7778728456931323
2012-12-31,0.20321244982064068,28.82,6.80,1.37,7.86810,2.61350,29.50100,23.63650,1.18940,,0.00,,,0.013211238057437624,-0.13737865174462827
2011-12-31,0.07968826976090893,19.81,6.22,1.22,7.28310,3.15930,34.21570,32.19980,0.91140,,0.00,,,0.2101137279791414,0.24638837521472623
2010-12-31,0.39302923225184716,19.08,5.97,1.22,7.63340,3.25830,34.96730,31.94940,0.86630,,0.00,,,-0.024579192182846432,-0.003209386754495891
2009-12-31,0.2088680211109739,13.30,4.39,0.96,10.33330,4.07770,37.05840,33.13410,0.91030,,0.00,,,,
